路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/案例编辑器展开步骤/内联编辑/删除步骤并序号重排,展开态删除步骤并序号重排,xseBtnDel → _delSubStep；删除后其余步骤序号重排，主表计数同步。,"步骤1:
展开步骤
步骤2:
点击某步骤的删除按钮
步骤3:
查看剩余步骤","【业务功能检查】
- 该步骤从子表移除
- 剩余步骤序号重新连续编号
- 主表 steps 计数-1",高
合并测试阶段/案例编辑器展开步骤/内联编辑/复制步骤,展开态复制步骤,xseBtnCopy → _copySubStep 复制出相同内容的新步骤。,"步骤1:
展开步骤
步骤2:
点击某步骤的复制按钮
步骤3:
查看","【业务功能检查】
- 生成一个内容相同的副本步骤
- 副本位于原步骤之后
- 主表计数+1",中
合并测试阶段/案例编辑器展开步骤/内联编辑/编辑子表格单元格写回,展开态编辑子表格单元格写回数据,子表格单元格 focusout → _handleSubTableCellEdit 解析回 rawRowGroups 并同步主表显示。,"步骤1:
展开步骤
步骤2:
修改某步骤的「步骤描述」单元格内容
步骤3:
使单元格失焦
步骤4:
查看主表与底层数据","【业务功能检查】
- 修改内容写回 rawRowGroups 对应步骤字段
- 主表 steps 列合并文本同步更新
- 再次展开内容保持",高
合并测试阶段/案例编辑器展开步骤/内联编辑/添加分组写回对应字段,展开态添加分组写回预期字段,xseBtnAddGroup（UI检查/接口调用/数据检查）→ 在预期结果列插入分组 DOM；用户输入后 focusout 由 _handleSubTableCellEdit 写回 step.ui_expected/api_expected/db_expected。,"步骤1:
展开步骤
步骤2:
在预期结果列点击「添加分组」选择「UI检查」
步骤3:
输入内容并失焦","【业务功能检查】
- 预期结果列出现「【UI检查】」分组行
- 输入内容写入对应 step.ui_expected
- 不输入直接失焦则不进入数据模型",中
合并测试阶段/案例编辑器展开步骤/内联编辑/添加接口调用分组写回api_expected,展开态添加「接口调用」分组写回 api_expected,"xseBtnAddGroup(data-xse-add-group-kind=""api"") 点击 → 插入「【接口调用】」分组 DOM；用户输入后 focusout 经 _handleSubTableCellEdit 按标题识别 kind=api，写回 step.api_expected（标题与 ui 分色：接口=紫）。","步骤1:
展开步骤
步骤2:
在预期结果列点击「添加分组」选择「接口调用」
步骤3:
输入接口断言内容并失焦","【业务功能检查】
- 预期结果列出现「【接口调用】」分组行（紫色系）
- 输入内容写入 step.api_expected
- 与 UI检查 分组互不串写
- 不输入直接失焦则不进入数据模型",高
合并测试阶段/案例编辑器展开步骤/内联编辑/添加数据检查分组写回db_expected,展开态添加「数据检查」分组写回 db_expected,"xseBtnAddGroup(data-xse-add-group-kind=""data"") 点击 → 插入「【数据检查】」分组 DOM；用户输入后 focusout 经 _handleSubTableCellEdit 按标题识别 kind=data，写回 step.db_expected（标题与 ui 分色：数据=绿）。","步骤1:
展开步骤
步骤2:
在预期结果列点击「添加分组」选择「数据检查」
步骤3:
输入 SQL/数据校验内容并失焦","【业务功能检查】
- 预期结果列出现「【数据检查】」分组行（绿色系）
- 输入内容写入 step.db_expected
- 与 UI检查/接口调用 分组互不串写
- 不输入直接失焦则不进入数据模型",高
合并测试阶段/案例编辑器展开步骤/内联编辑/同一步骤添加三种分组各自写回,同一步骤同时含UI接口数据三类预期值,"_buildStepExpandedHtml 按 _order=[ui,api,data] 顺序渲染三个分组 chip 并分色；_handleSubTableCellEdit 依据 DOM 中 .xse-group 标题归位，分别写回 step.ui_expected / api_expected / db_expected。","步骤1:
展开步骤
步骤2:
对同一预期结果列依次添加「UI检查」「接口调用」「数据检查」三个分组并分别输入
步骤3:
全部失焦后查看底层数据与子表","【业务功能检查】
- 子表按 UI检查(蓝)/接口调用(紫)/数据检查(绿) 顺序渲染三个分组
- 三类内容分别写入 ui_expected/api_expected/db_expected
- 保存后 YAML 三类分组标题与内容均正确落盘
- 再次展开三类内容完整还原",高
合并测试阶段/案例编辑器展开步骤/内联编辑/数据列内联编辑写回step.data,展开态编辑「数据」列写回 step.data 数组,"子表第三列 xse-td-data（data-xse-section=""data""）focusout → _handleSubTableCellEdit 解析多行内容写回 step.data（数组）；空则清理为 delete step.data。","步骤1:
展开步骤
步骤2:
在「数据」列单元格输入多行前置数据
步骤3:
使单元格失焦","【业务功能检查】
- 多行内容写回 step.data（数组，逐行）
- 主表 steps 合并文本「【数据】」段同步更新
- 清空内容后该字段从数据模型移除",中
合并测试阶段/案例编辑器展开步骤/内联编辑/纯文本无分组结构退化为ui_expected,预期结果列无分组结构纯文本输入退化为 ui_expected,_handleSubTableCellEdit 兜底：td 内无 .xse-group 但有文本（且非仅含 .xse-add-group-row 占位按钮）时，按 innerText 切分默认归入 step.ui_expected，避免误把按钮文字写入。,"步骤1:
展开步骤
步骤2:
在预期结果列直接输入多行预期文字（不点任何添加分组按钮）
步骤3:
使单元格失焦","【业务功能检查】
- 纯文本内容写入 step.ui_expected
- 不出现「+ UI检查」等按钮文字被误写入数据的 bug
- 再次展开纯文本以 ui 分组呈现",中
合并测试阶段/案例编辑器展开步骤/子列交互/子列筛选漏斗过滤步骤并空占位,子列筛选漏斗可过滤步骤并显示空占位,_buildStepExpandedHtml 经 stepPassesSubFilters 逐步骤过滤；某单元格所有步骤均被过滤时，渲染 colspan=5 占位「（当前子列筛选下，该单元格所有步骤均被隐藏）」。,"步骤1:
展开步骤（多步骤多行）
步骤2:
对「步骤描述」子列开启筛选漏斗，输入仅匹配部分关键字
步骤3:
观察匹配行与不匹配行的不同呈现","【业务功能检查】
- 不匹配关键字的步骤在该单元格被隐藏
- 全部不匹配的单元格显示空占位提示
- 清除筛选后所有步骤恢复显示",中
合并测试阶段/案例编辑器展开步骤/子列交互/子列宽拖动与双击自适应并持久化,子列宽可拖动且双击表头自适应并持久化,mousedown 命中 .xs-sub-resizer → startSubColResize 拖动改宽；dblclick 命中 .xs-th-sub → autoFitStepsSubCol 按内容自适应；运行时宽度存于 S._stepsSubW（经 _getStepsSubWSafe 读取，重渲染保持对齐）。,"步骤1:
展开步骤
步骤2:
拖动某子列（序号/步骤描述/预期结果/数据/操作）右侧 resizer 改变列宽
步骤3:
双击该子列表头触发自适应；切换折叠再展开验证宽度保持","【业务功能检查】
- 拖动后子列宽改变且内部表格与主表头严格对齐
- 双击后该子列按可见内容自适应宽度
- 折叠→展开后子列宽仍保持上次设置（持久化生效）",中
合并测试阶段/案例编辑器展开步骤/内联编辑/添加步骤插入到当前步骤之后,展开态添加步骤插入到当前步骤之后,"_addSubStep(ri,ci,stepIdx) 在 rawRowGroups[stepIdx] 之后（stepIdx+1）splice 插入空步骤，非末尾追加；_syncSubSteps 重建合并文本并 patchCell 原地刷新。","步骤1:
展开含至少 2 个步骤的 YAML
步骤2:
在第 1 个步骤行的「+」添加按钮上点击
步骤3:
观察新步骤的位置与序号","【业务功能检查】
- 新空步骤出现在第 1 步之后、原第 2 步之前（序号穿插为 2，原第 2 步变为 3）
- 主表 steps 计数 +1
- 新步骤行可内联输入",中
合并测试阶段/案例编辑器展开步骤/内联编辑/复制步骤为深拷贝编辑副本不影响原步骤,展开态复制步骤为深拷贝且相互独立,_copySubStep 对源 step 各字段深拷贝（data/ui_expected/api_expected/db_expected 均 slice 新数组），插入其后；副本与原步骤数据相互独立。,"步骤1:
展开步骤（含一个有内容的步骤）
步骤2:
点击该步骤的复制按钮
步骤3:
编辑副本的步骤描述/预期值
步骤4:
查看原步骤内容","【业务功能检查】
- 副本内容与原步骤相同且位于其后
- 主表计数 +1
- 修改副本的描述/预期值不影响原步骤任何字段
- 保存后二者为独立数据",高
合并测试阶段/案例编辑器展开步骤/内联编辑/已添加某类型分组后该类型按钮消失,已添加某类型分组后该类型按钮消失不可重复添加,点击 xse-btn-add-group 添加某 kind 分组后，该按钮被 removeChild 移除；同一预期结果列下该 kind 分组按钮不再出现（每类型仅一个分组），其余类型按钮仍可用。,"步骤1:
展开步骤
步骤2:
在预期结果列点「添加分组」选择「UI检查」并输入内容
步骤3:
再次查看该预期结果列的「添加分组」按钮组","【业务功能检查】
- 「UI检查」按钮消失（不可重复添加 UI 分组）
- 「接口调用」「数据检查」按钮仍存在
- 已填 UI 分组内容保留不丢失",中
合并测试阶段/案例编辑器展开步骤/内联编辑/历史冗余步骤前缀展开时自动剥离,含历史累积冗余步骤前缀的步骤展开时自动剥离,_buildStepExpandedHtml 对 desc 循环剥离历史累积的「步骤\S+」冗余前缀（_cleanRE），保证渲染稳定；下次编辑保存后写回干净数据。,"步骤1:
准备一个步骤描述被历史 bug 累积为「步骤2 xxx」冗余前缀的 YAML
步骤2:
展开步骤
步骤3:
观察步骤描述显示，并保存后查看底层数据","【业务功能检查】
- 展开后显示的步骤描述为干净正文（无「步骤2」冗余前缀）
- 保存后底层 desc 写回去除冗余前缀的干净值
- 再次展开内容稳定无反复",中
合并测试阶段/案例编辑器展开步骤/内联编辑/数据或预期值含对象元素序列化为JSON,步骤数据或预期值含对象元素时序列化为 JSON,_buildStepCombined 经 _stepCellItemToStr/_toExpectedLines 把 data/ui_expected/api_expected/db_expected 中的对象/数组元素序列化为 JSON（避免 [object Object]）；展开渲染该 JSON 文本且可回写。,"步骤1:
准备一个步骤，其「数据」或某预期值含对象元素（如 {""key"":""val""}）
步骤2:
展开步骤
步骤3:
观察「数据」/「预期结果」列渲染","【业务功能检查】
- 对象元素显示为 JSON 文本（如 {""key"":""val""}）而非 [object Object]
- 保存后 YAML 正确落盘该对象
- 再次展开仍正确还原为 JSON",中
合并测试阶段/案例编辑器展开步骤/子列交互/子列筛选作用于预期结果列过滤步骤,子列筛选漏斗可作用于预期结果列过滤步骤,stepPassesSubFilters 同样作用于「预期结果」等子列；对某步骤预期结果不匹配筛选关键字的单元格，该步骤被隐藏（全部不匹配显示空占位）。,"步骤1:
展开步骤（多步骤，预期结果各异）
步骤2:
对「预期结果」子列开启筛选漏斗，输入仅匹配部分的关键字
步骤3:
观察匹配行与不匹配行的不同呈现","【业务功能检查】
- 预期结果不含关键字的步骤在该单元格被隐藏
- 全部不匹配的单元格显示空占位提示
- 清除筛选后所有步骤恢复显示",中
合并测试阶段/案例编辑器展开步骤/边界/样例数据行展开态只读,样例数据行展开态只读,展开态下 isFrozenRow 为真的样例数据行：_buildStepExpandedHtml(frozen=true) 渲染 contenteditable=false 且不渲染操作按钮；点击操作按钮 toast「样例数据行已冻结，不可操作」。,"步骤1:
打开含样例数据行的 YAML
步骤2:
展开步骤
步骤3:
尝试对样例行点击添加/删除/复制步骤","【业务功能检查】
- 样例行子表为只读（不可编辑）
- 不显示添加/删除/复制/添加分组按钮
- 点击操作按钮提示「样例数据行已冻结，不可操作」",高
合并测试阶段/案例编辑器展开步骤/边界/undo或redo后展开态自愈对齐,undo或redo后展开态自愈对齐,_alignStepsExpansion：数据被外部覆盖（undo/redo）后按当前 _stepsExpanded 刷回一致形态（展开态写回 _buildStepCombined 文本，折叠态写回 [N 项]）。,"步骤1:
展开步骤（内联子表）
步骤2:
执行一次 undo 或 redo（S.data.rows 被快照覆盖）
步骤3:
查看 steps 列呈现","【业务功能检查】
- 展开态下 steps 列仍为内联合并文本（非 [N 项]）
- 折叠态下 steps 列仍为 [N 项]
- 按钮状态与内容一致，无错位",高
合并测试阶段/案例编辑器展开步骤/边界/持久化恢复展开态,持久化恢复展开态,stepsExpanded 经 vscode.setState 持久化；首屏/切回/推送反弹后若持久化为 true，_alignStepsExpansion 在 renderTable 前写回展开文本，按钮文案同步「收起步骤」。,"步骤1:
展开步骤后关闭并重开编辑器（或切走再切回）
步骤2:
观察默认展开态","【业务功能检查】
- 重开默认处于展开态（无闪烁）
- 按钮文案为「收起步骤」
- 子表内容正确还原",高
合并测试阶段/案例编辑器展开步骤/边界/steps列缺失静默降级折叠态,steps列缺失时静默降级折叠态,_alignStepsExpansion：若 steps 列不存在（切到非 case 文件），静默降级 S._stepsExpanded=false 并同步按钮文案「展开步骤」。,"步骤1:
在展开态下切换到无 steps 列的文件
步骤2:
观察状态","【业务功能检查】
- 自动降级为折叠态，不报错
- 按钮文案回「展开步骤」
- 切回含 steps 文件后行为正常",中
