路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/新增测试要点文件/格式选择/子菜单XMind免弹窗,右键子菜单直接选XMind免弹窗创建xmind,验证在资源管理器中直接选择「新增测试要点→XMind」时，无需再弹出格式选择框即可直接创建 .xmind 文件。,"步骤1:
右键「测试大纲」目录
步骤2:
选择「新增测试要点→XMind (.xmind)」
步骤3:
观察创建结果","【业务功能检查】
- 不弹出格式选择框
- 直接创建「测试要点.xmind」
- 文件从 XMind 模板复制生成",中
合并测试阶段/新增测试要点文件/格式选择/命令面板弹窗选择,命令面板入口执行后弹出格式选择框供选择,验证通过命令面板触发新建（未指定格式）时，会弹出格式选择框，列出 Markdown 与 XMind 供用户选择。,"步骤1:
命令面板执行「新增测试要点」
步骤2:
在弹出的格式选择框中查看选项
步骤3:
分别选择 Markdown 与 XMind 各一次验证","【业务功能检查】
- 弹窗含「Markdown (.md)」与「XMind (.xmind)」两项且描述正确
- Markdown 选项排在前
- 选择后按所选扩展名创建对应格式文件",中
合并测试阶段/新增测试要点文件/格式选择/弹窗取消不创建,格式选择框取消选择时不创建文件,验证在格式选择框中取消选择（按 Esc 或点击空白）时，系统不创建任何文件、无残留。,"步骤1:
触发命令面板「新增测试要点」弹出格式选择框
步骤2:
按 Esc 或点击空白处取消选择
步骤3:
检查测试大纲目录","【业务功能检查】
- 不创建任何文件
- 无报错与残留
- 再次触发仍可正常创建",中
合并测试阶段/新增测试要点文件/默认文件名/默认命名,新建文件默认名为测试要点加扩展名,验证首次新建要点文件时，系统自动赋予默认文件名「测试要点.<ext>」并进入改名态等待用户命名。,"步骤1:
右键「测试大纲」目录选择 Markdown
步骤2:
观察新建文件的初始名称（未重命名前）","【业务功能检查】
- 初始文件名形如「测试要点.md」
- 文件进入编辑（inline）状态，等待用户改名",中
合并测试阶段/新增测试要点文件/默认文件名/同名递增,目录已存在同名文件时自动递增命名为测试要点1,验证当目录中已存在同名文件时，再次新建不会覆盖原文件，而是自动递增序号命名。,"步骤1:
在「测试大纲」目录先创建「测试要点.md」并保留（不重命名）
步骤2:
再次右键新增 Markdown
步骤3:
观察新文件名","【业务功能检查】
- 第二次创建的文件名为「测试要点1.md」
- 不会覆盖已存在文件
- 递增序号连续合理",中
合并测试阶段/新增测试要点文件/默认文件名/多次递增,连续多次同名创建依次递增123,验证连续多次新建同名文件时，系统依次递增序号 1、2、3…，无跳号、无冲突、无覆盖。,"步骤1:
连续三次在「测试大纲」目录新增 XMind 且均不重命名
步骤2:
列出目录中产生的未命名文件","【业务功能检查】
- 产生「测试要点.xmind」「测试要点1.xmind」「测试要点2.xmind」
- 序号无跳号、无冲突、无覆盖",低
合并测试阶段/新增测试要点文件/模板内容/Markdown模板结构,Markdown模板含正确大纲与测试点列表结构,验证以 Markdown 格式新建的要点文件自带标准大纲层级与测试点列表表格，结构正确可直接打开编辑。,"步骤1:
以 Markdown 格式新增测试要点文件
步骤2:
用文本方式打开该文件查看内容
步骤3:
核对大纲层级与表格","【业务功能检查】
- 包含「1. 测试大纲」「1.1 测试点列表」层级
- 含「功能条目：功能条目路径」说明行
- 含含表头的测试点表格（序号、测试点、描述）",中
合并测试阶段/新增测试要点文件/模板内容/XMind模板复制,XMind模板从示例二进制文件复制生成,验证以 XMind 格式新建的要点文件是从模板复制生成的合法文件，可被 XMind 编辑器正常打开且内容与模板一致。,"步骤1:
以 XMind 格式新增测试要点文件
步骤2:
在支持 XMind 的编辑器中打开该文件
步骤3:
核对内容与原模板一致","【业务功能检查】
- 生成的 .xmind 为合法文件（非空、可正常打开）
- 内容与模板一致
- 非空白或损坏文件",中
合并测试阶段/新增测试要点文件/模板内容/Markdown模板读取失败,Markdown模板读取失败时给出错误提示,验证当 Markdown 模板缺失或不可读时，新建要点文件会给出错误提示且不创建任何文件，不产生无内容的空文件。,"步骤1:
模拟 Markdown 模板缺失或不可读（临时移走/改权限）
步骤2:
以 Markdown 格式新增测试要点
步骤3:
观察提示与文件系统","【业务功能检查】
- 弹出错误提示告知模板读取失败
- 不创建任何文件
- 不产生无内容的空文件",中
合并测试阶段/新增测试要点文件/打开与编辑/默认编辑器打开,创建后用默认编辑器打开而非测试案例自定义编辑器,验证新建的要点文件以对应格式的默认编辑器打开：Markdown 用 VS Code 原生 Markdown 编辑器/预览，XMind 用系统/XMind 关联程序；不会误用测试案例的表格编辑器打开。,"步骤1:
新增 Markdown 测试要点文件
步骤2:
观察文件打开方式
步骤3:
新增 XMind 测试要点文件并同样观察","【业务功能检查】
- Markdown 文件以 VS Code 默认（Markdown）编辑器/预览打开
- XMind 文件以系统/XMind 关联程序打开
- 不以「测试案例编辑器」打开",高
合并测试阶段/新增测试要点文件/打开与编辑/inline重命名,创建后文件名自动进入资源管理器inline编辑状态,验证新建文件后，资源管理器中该文件自动被选中并进入文件名改写状态，用户可直接输入新名称。,"步骤1:
新增测试要点文件
步骤2:
观察资源管理器中该文件是否被高亮选中且文件名处于可编辑输入框
步骤3:
输入新名称并回车","【业务功能检查】
- 文件被选中并进入 inline 编辑（文件名输入框聚焦）
- 用户输入新名回车后文件按新名保存
- 修改扩展名（如 .md→.xmind）时内容格式随之变化",高
合并测试阶段/新增测试要点文件/打开与编辑/Markdown超时兜底,Markdown方式创建注册30秒重命名超时监听,验证通过 Markdown 格式新建文件时，系统会启动一个等待改名的监听并在 30 秒后自动释放，长时间不重命名也不会造成资源占用或异常。,"步骤1:
新增 Markdown 测试要点文件后不做任何重命名操作
步骤2:
等待超过 30 秒
步骤3:
观察编辑器与资源管理器是否出现异常","【业务功能检查】
- 30 秒后系统自动释放改名监听，不再占用资源
- 长时间无操作不引发异常或内存泄漏提示
- 文件保持默认名",低
合并测试阶段/新增测试要点文件/打开与编辑/XMind无超时监听,XMind方式创建直接触发重命名不注册超时监听,验证通过 XMind 格式新建文件时，系统直接触发改名流程，不启动 30 秒超时监听（与 Markdown 方式存在差异，但两者均能正常触发用户改名）。,"步骤1:
新增 XMind 测试要点文件
步骤2:
观察是否出现与 Markdown 一致的等待改名超时机制
步骤3:
对比两种格式的改名触发表现","【业务功能检查】
- XMind 创建流程未注册 30 秒超时兜底监听
- 与 Markdown 分支的监听注册行为存在可观测差异
- 两种方式均能正常触发用户 inline 重命名",低
合并测试阶段/新增测试要点文件/文件标识/不写入记录,命令创建的测试要点文件不写入命令创建记录,验证通过命令创建的要点文件不会被写入命令创建记录文件，与命令创建的测试案例文件形成明确差异（要点文件为零侵入）。,"步骤1:
新增一个测试要点文件（命令创建）
步骤2:
打开工作区根目录下的命令创建记录文件（命令创建记录文件）
步骤3:
查找该文件路径","【业务功能检查】
- 记录文件中不出现该测试要点文件的绝对路径
- 与测试案例文件（会被记录）形成明确差异
- 原要点文件内容不被修改（零侵入）",高
合并测试阶段/新增测试要点文件/文件标识/无装饰器,命令创建的测试要点文件编辑器不显示装饰器,验证命令创建的要点文件在编辑器首行不显示命令创建标识图标（📝），与命令创建的测试案例文件表现不同。,"步骤1:
新增测试要点文件并打开编辑器
步骤2:
查看编辑器首行左侧","【业务功能检查】
- 首行不显示绿色 📝 图标装饰
- 与命令创建的测试案例文件（显示装饰）行为不同",低
合并测试阶段/新增测试要点文件/文件标识/无状态栏,状态栏不显示通过命令创建信息,验证打开命令创建的要点文件时，状态栏不出现「通过命令创建」提示。,"步骤1:
打开一个命令创建的测试要点文件
步骤2:
观察 VS Code 右下角状态栏","【业务功能检查】
- 状态栏不出现「通过命令创建」项
- 与命令创建的测试案例文件（显示状态栏项）行为不同",低
合并测试阶段/新增测试要点文件/重命名删除/重命名无记录同步,测试要点重命名时不触发命令创建记录同步,验证命令创建的要点文件在资源管理器中重命名时，不会写入或更新任何命令创建记录（因要点文件本就未登记）。,"步骤1:
新增测试要点文件（命令创建，未标记）
步骤2:
在资源管理器中将其重命名为新名称
步骤3:
查看 命令创建记录文件","【业务功能检查】
- 重命名后 命令创建记录文件 无对应旧/新路径记录
- 全局监听对未标记文件不做记录同步（符合预期，避免脏数据）",中
合并测试阶段/新增测试要点文件/重命名删除/删除无记录残留,测试要点删除后无命令创建记录残留,验证命令创建的要点文件被删除后，命令创建记录中无残留（本就无记录）。,"步骤1:
新增测试要点文件（命令创建）
步骤2:
删除该文件
步骤3:
查看 命令创建记录文件","【业务功能检查】
- 删除前后 命令创建记录文件 均不含该文件路径
- 无指向已删除文件的滞留记录",低
合并测试阶段/新增测试要点文件/文件标识/推送来源不判MA,命令创建的要点文件推送来源不判定为testAgentMA,验证命令创建的要点文件在推送来源判定上不携带命令创建标记（不会被判定为 testAgentMA），与命令创建的测试案例文件明确区分。,"步骤1:
以命令创建方式新增一个测试要点文件（Markdown）
步骤2:
在推送相关逻辑中查询该要点文件的推送来源判定
步骤3:
核对返回来源是否为非 testAgentMA 的默认判定","【业务功能检查】
- 该要点文件不被判定为 testAgentMA
- 要点文件不带有命令创建来源标记（与测试案例文件明确区分）
- 不影响要点文件本身的打开与编辑",中
