路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/绑定和关联/绑定/绑定对话框/取消关闭,点击取消或关闭对话框不写入任何绑定,对话框 webview 发送 cancel 消息 → panel.dispose()；绑定库不受影响。,"步骤1:
打开绑定对话框并勾选一个候选
步骤2:
点击「取消」按钮（或关闭面板）
步骤3:
检查绑定库","【业务功能检查】
- 无写入发生
- 原绑定关系保持不变
- 埋点 bindDialog.cancel",中
合并测试阶段/绑定和关联/绑定/绑定对话框/空态提示,目标目录无任何候选时显示空态并可打开目录,scanCandidateFilesAsync 返回空列表时，对话框展示空态提示并提供「打开目录」按钮（openTargetDir 消息 → revealInExplorer）。,"步骤1:
在测试案例目录为空的情况下打开绑定测试案例对话框
步骤2:
观察空态文案
步骤3:
点击「打开目录」","【业务功能检查】
- 显示「暂无候选案例」类空态提示
- 点击打开目录可在资源管理器定位到测试案例目录
- 不报错",中
合并测试阶段/绑定和关联/绑定/绑定对话框/保存后刷新,绑定保存成功后自动刷新装饰器与状态栏,save 成功后回传 affectedPaths（源+新对端+旧对端）给 refreshDecorations，并 showToast 提示「已绑定 1 个测试案例」，随后 300ms 关闭面板。,"步骤1:
在对话框中选择一个未占用案例并保存
步骤2:
观察提示与面板
步骤3:
查看资源管理器中两文件的 🔗 装饰","【业务功能检查】
- 提示「已绑定 1 个测试案例」
- 源文件与对端文件均出现 🔗 徽标
- 状态栏出现跳转按钮（无需切换编辑器）",高
合并测试阶段/绑定和关联/绑定/绑定对话框/解除绑定,选择 0 个候选保存即解除原绑定,setPointCases/setCasePoints 传入空数组 → 覆盖式清空该源的所有绑定（等价 unbind）。,"步骤1:
预先将要点与一个案例绑定
步骤2:
重新打开对话框，取消勾选并保存（选 0 个）
步骤3:
检查绑定库与装饰","【业务功能检查】
- 提示「已解除绑定」
- 绑定库中该源记录被移除
- 双方 🔗 徽标消失",高
合并测试阶段/绑定和关联/绑定/持久化存储/落库结构,绑定关系写入 .plugin.tms.point-case-bindings.json,"pointCaseBindingStore：绑定文件位于 <workspace>/.plugin/.tms/point-case-bindings.json，结构 { version:1, bindings:[{point,cases,updatedAt}] }。","步骤1:
绑定一个要点与案例
步骤2:
打开 point-case-bindings.json
步骤3:
查看结构","【业务功能检查】
- 文件存在于 .plugin/.tms/ 下
- version=1，bindings 为数组
- 每条记录含 point、cases（数组）、updatedAt",高
合并测试阶段/绑定和关联/绑定/持久化存储/相对路径存储,绑定路径以相对工作区根的 POSIX 路径存储（跨平台稳定）,toRelPath 将绝对路径转相对根 POSIX 路径写入；toAbsPath 反向还原，避免 Windows 反斜杠差异。,"步骤1:
在不同工作区结构下分别绑定
步骤2:
查看 json 中 point / cases 字段","【业务功能检查】
- point、cases 均为相对工作区根的 POSIX 路径（用 / 分隔）
- 不写入绝对路径或反斜杠
- 重新读取能正确还原为绝对路径",中
合并测试阶段/绑定和关联/绑定/持久化存储/覆盖式绑定,重新绑定某要点覆盖其旧案例绑定,setPointCases 为覆盖式：对同一 point，新 cases 替换旧 cases（而非追加），实现重绑语义。,"步骤1:
要点X 绑定 案例A
步骤2:
再绑定 要点X → 案例B（仍选 1 个）
步骤3:
检查绑定库","【业务功能检查】
- 要点X 的 cases 变为 [案例B]
- 不再包含 案例A
- 案例A 的占用被释放",高
合并测试阶段/绑定和关联/绑定/持久化存储/占用校验拒绝,持久化层拒绝造成 1:1 占用的写入,setPointCases/setCasePoints 内部均做占用校验；尝试把已被占用的对端绑给新源时抛错。,"步骤1:
案例A 已绑定 要点X
步骤2:
调用 setPointCases(要点Y, [案例A])
步骤3:
捕获异常","【业务功能检查】
- 抛出占用冲突错误（指向占用者）
- 绑定库不被部分写入破坏",高
合并测试阶段/绑定和关联/绑定/持久化存储/双向查询,getBoundCasesOfPoint 与 getBoundPointsOfCase 双向查询正确,getBoundCasesOfPoint 返回要点绑定的案例绝对路径数组；getBoundPointsOfCase 反向遍历 bindings 返回包含该案例的要点。,"步骤1:
绑定 要点X ↔ 案例A
步骤2:
分别调用 getBoundCasesOfPoint(要点X)、getBoundPointsOfCase(案例A)
步骤3:
核对返回","【业务功能检查】
- 两查询分别返回对应绝对路径
- 1:1 下各返回唯一一项
- 未绑定方返回空数组",高
合并测试阶段/绑定和关联/绑定/持久化存储/未参与判定,isPathBound 正确判定文件是否参与任何绑定,isPathBound：文件作为 point 或 case 任一角色出现在绑定库时返回 true；空 cases 的记录（仅 point 无案例）返回 false。,"步骤1:
查询已绑定要点路径、已绑案例路径、无关文件路径
步骤2:
分别调用 isPathBound","【业务功能检查】
- 已绑要点/案例返回 true
- 无关文件返回 false
- 仅有 point 且无 cases 的记录视为未参与绑定",中
合并测试阶段/绑定和关联/绑定/持久化存储/文件缺失安全,绑定文件不存在或解析失败时安全返回空结构,"loadBindings：文件不存在（ENOENT）或 JSON 解析失败时，返回 { version:1, bindings:[] }，不抛错；ensureStoreFile 在缺失时创建空文件。","步骤1:
删除 point-case-bindings.json
步骤2:
调用 loadBindings / getBoundCasesOfPoint
步骤3:
观察返回","【业务功能检查】
- 返回空 bindings 结构而非崩溃
- 读取后 ensure 已重建空文件
- 不影响其他功能",中
合并测试阶段/绑定和关联/绑定/持久化存储/乐观锁冲突,并发写触发乐观锁 ConcurrentWriteError 并在监听器层重试一次,saveBindings 提供 expectedMtimeMs 乐观锁；若磁盘 mtime 与基线不一致抛 ConcurrentWriteError。监听器（rename/remove）捕获后无锁重试一次。,"步骤1:
模拟两个写操作竞争同一绑定文件
步骤2:
第二个写以第一个的 mtime 为基线
步骤3:
观察异常与重试","【业务功能检查】
- 后者抛出 ConcurrentWriteError（当确实被改动）
- 监听器路径下自动无锁重试成功
- 数据最终一致",中
合并测试阶段/绑定和关联/绑定/重命名删除同步/重命名要点,重命名测试要点 md 时绑定库同步更新 point 路径,"workspaceListeners → renamePathInBindings(oldAbs, newAbs)：若 oldRel 出现在 bindings[].point，则替换为 newRel；同根内才更新。","步骤1:
绑定 旧要点.md ↔ 案例A
步骤2:
将 旧要点.md 重命名为 新要点.md
步骤3:
检查绑定库","【业务功能检查】
- bindings 中 point 更新为新相对路径
- 案例A 的绑定关系保持不变
- 装饰器精确刷新",高
合并测试阶段/绑定和关联/绑定/重命名删除同步/重命名案例,重命名测试案例文件时绑定库同步更新 cases 路径,renamePathInBindings：若 oldRel 出现在某 record.cases，则替换为 newRel。,"步骤1:
绑定 要点X ↔ 旧案例.csv
步骤2:
重命名 旧案例.csv → 新案例.csv
步骤3:
检查绑定库","【业务功能检查】
- 对应 record.cases 更新为新相对路径
- 要点X 的绑定仍有效
- 跳转可正确打开新案例",高
合并测试阶段/绑定和关联/绑定/重命名删除同步/删除要点,删除测试要点 md 时移除整条绑定记录,removePathInBindings：过滤掉 point===rel 的整条记录，并从其余 cases 剔除该 rel。,"步骤1:
绑定 要点X ↔ 案例A
步骤2:
删除 要点X.md
步骤3:
检查绑定库","【业务功能检查】
- 该 point 记录被整条删除
- 案例A 不再被该要点引用
- 相关 🔗 徽标消失",高
合并测试阶段/绑定和关联/绑定/重命名删除同步/删除案例,删除测试案例文件时从 cases 中剔除并清理空记录,removePathInBindings：从所有 record.cases 剔除 rel；若某 record 因此 cases 为空则一并删除。,"步骤1:
绑定 要点X ↔ 案例A
步骤2:
删除 案例A.csv
步骤3:
检查绑定库","【业务功能检查】
- 要点X.cases 不再含 案例A
- 因 cases 为空，该记录被删除
- 装饰与状态栏同步更新",高
合并测试阶段/绑定和关联/绑定/重命名删除同步/跨区移动,跨工作区移动文件视为删除（清理原绑定）,renamePathInBindings：当 oldRoot 与 newRoot 不同，按 removePathInBindings 处理（当前实现不跨区新增）。,"步骤1:
绑定 要点X（工作区A）↔ 案例A（工作区A）
步骤2:
将 案例A 移动到工作区B
步骤3:
检查工作区A绑定库","【业务功能检查】
- 工作区A 中对该案例的引用被清理
- 不产生跨区脏绑定",中
合并测试阶段/绑定和关联/绑定/跳转与状态栏/要点跳转案例,右键测试要点「跳转到已绑定的测试案例」打开对端文件并定位,handleJumpToBoundCase → getCaseOfPoint → jumpTo（vscode.open + revealInExplorer）；文件存在时打开并聚焦。,"步骤1:
绑定 要点X ↔ 案例A
步骤2:
右键 要点X.md，点击「跳转到已绑定的测试案例」
步骤3:
观察","【业务功能检查】
- 打开 案例A 文件
- 在资源管理器中定位（reveal）
- 埋点 jumpToBound.hit",高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/要点未绑提示,未绑定要点点击跳转时提示是否立即绑定,handleJumpToBoundCase：getCaseOfPoint 返回 null → 弹 InformationMessage「是否立即绑定」，选「立即绑定」则打开对话框。,"步骤1:
确保 要点X 未绑定
步骤2:
右键该要点点击跳转案例
步骤3:
点击「立即绑定」","【业务功能检查】
- 提示「当前测试要点尚未绑定测试案例，是否立即绑定」
- 选立即绑定打开绑定对话框
- 埋点 jumpToBound.miss",高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/案例缺失提示,跳转到的绑定案例文件已删除时给出告警,handleJumpToBoundCase：getCaseOfPoint 命中但 fs.existsSync 为假 → showWarningMessage「绑定的测试案例文件不存在」。,"步骤1:
绑定 要点X ↔ 案例A 后删除 案例A
步骤2:
右键 要点X 跳转到案例
步骤3:
观察提示","【业务功能检查】
- 弹出告警指出绑定案例文件不存在
- 不打开空/错误文件
- 埋点 jumpToBound.notExist",中
合并测试阶段/绑定和关联/绑定/跳转与状态栏/案例跳转要点,右键测试案例「跳转到已绑定的测试要点」打开对端要点,handleJumpToBoundPoint → getPointOfCase → jumpTo；逻辑与要点侧对称。,"步骤1:
绑定 要点X ↔ 案例A
步骤2:
右键 案例A.csv 点击跳转要点
步骤3:
观察","【业务功能检查】
- 打开 要点X.md
- 在资源管理器定位
- 埋点 jumpToBound.hit",高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/状态栏要点,打开已绑要点文件时状态栏显示「跳转到已绑定的测试案例」,BindStatusBarProvider：活动文件命中 boundFileMap 且 role=point → 文案 + 命令 testcaseViewer.jumpToBoundCase；O(1) 查表，5s TTL 缓存。,"步骤1:
绑定 要点X ↔ 案例A
步骤2:
激活编辑器打开 要点X.md
步骤3:
观察底部状态栏","【业务功能检查】
- 状态栏显示「$(arrow-right) 跳转到已绑定的测试案例」
- 点击执行跳转命令
- tooltip 含绑定案例名",高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/状态栏案例,打开已绑案例文件时状态栏显示「跳转到已绑定的测试要点」,role=case → 文案 + 命令 testcaseViewer.jumpToBoundPoint。,"步骤1:
激活编辑器打开已绑案例 案例A.csv
步骤2:
观察状态栏","【业务功能检查】
- 状态栏显示「跳转到已绑定的测试要点」
- 点击跳转到要点
- tooltip 含绑定要点名",高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/状态栏隐藏,未绑定的文件打开时状态栏按钮隐藏,updateStatusBar：查询 boundFileMap 无命中 → statusBar.hide()。,"步骤1:
打开一个未参与绑定的任意文件
步骤2:
观察状态栏","【业务功能检查】
- 不显示跳转按钮
- 切换编辑器时按当前文件动态显隐",中
合并测试阶段/绑定和关联/绑定/跳转与状态栏/保存后自现,在对话框完成绑定后状态栏自动出现（无需切换编辑器）,BindDialogProvider 保存后调用 refreshBindStatusBar → currentUpdater 强制刷新状态栏。,"步骤1:
打开未绑要点并停留
步骤2:
通过命令面板打开绑定对话框并完成绑定
步骤3:
观察状态栏是否即时出现","【业务功能检查】
- 绑定完成后状态栏立即出现跳转按钮
- 不需要手动切换编辑器触发",中
合并测试阶段/绑定和关联/绑定/装饰器/要点徽标,已绑定的测试要点文件在资源管理器显示 🔗 徽标（绿色）,TaskFolderDecorationProvider.provideFileDecoration：命中 boundFileMap 且 role=point → badge 🔗、color charts.green、tooltip「已绑定测试案例：<名>」。,"步骤1:
绑定 要点X ↔ 案例A
步骤2:
在资源管理器查看 要点X.md
步骤3:
观察图标","【业务功能检查】
- 文件显示 🔗 徽标
- 徽标颜色为绿色
- hover 提示「已绑定测试案例：案例A」",高
合并测试阶段/绑定和关联/绑定/装饰器/案例徽标,已绑定的测试案例文件显示 🔗 徽标（绿色）,role=case → tooltip「已绑定测试要点：<名>」。,"步骤1:
查看已绑案例 案例A.csv 的图标
步骤2:
hover 观察 tooltip","【业务功能检查】
- 案例文件显示 🔗 徽标
- tooltip 含绑定要点名",高
合并测试阶段/绑定和关联/绑定/装饰器/精确刷新,绑定或解绑后旧对端与新对端图标均被精确刷新,BindDialogProvider 保存时把 源+新对端+旧对端 URI 传给 refreshDecorations，装饰器只对受影响 URI 调 fire，并失效 O(1) 缓存。,"步骤1:
将 要点X 从 案例A 改绑到 案例B
步骤2:
观察两案例文件图标","【业务功能检查】
- 案例A 图标消失（变未绑）
- 案例B 图标出现（变已绑）
- 无需全量重绘即可更新",高
合并测试阶段/绑定和关联/绑定/装饰器/未绑无标记,未参与绑定的文件不显示 🔗 徽标,provideFileDecoration：未命中 boundFileMap 且不命中原任务文件夹逻辑 → 返回 undefined（无徽标）。,"步骤1:
查看未绑定文件图标
步骤2:
确认无徽标","【业务功能检查】
- 文件无 🔗 装饰
- 不影响普通文件展示",中
