路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/yaml格式校验和修复/yaml不规范检测/文件头/BOM头,文件开头包含 BOM 标记被检测,validateYamlContent：检测 content.charCodeAt(0)===0xFEFF 的 BOM 头，报 warning。,"步骤1:
准备一份以 UTF-8 BOM 开头的 YAML 文件
步骤校验该文件
步骤查看诊断","【业务功能检查】
- 第 1 行出现黄色波浪线，提示""文件开头包含 BOM，可能导致解析异常""
- fix 为剥掉首字符 U+FEFF，其余内容不变
- 无 BOM 的正常文件不报",中
合并测试阶段/yaml格式校验和修复/yaml不规范检测/解析器兜底/深层解析错误,前两层规则未覆盖的深层解析错误被兜底检测,validateYamlContent 调用 YAML.parseAllDocuments，捕获嵌套 map、缺闭合引号、缩进列错位、解析器重复 key 等 error。,"步骤1:
准备含嵌套 map 错误（一行塞多层键值）、缺闭合引号、缩进对不齐的 YAML 各一例，分别校验
步骤查看问题面板","【业务功能检查】
- 对应行出现红色波浪线（error 级），title 为""YAML 解析错误""
- 缺闭合引号补引号、嵌套 map 包裹值、缩进错位与解析器重复 key 注释化均有对应 fix
- 非致命 parser warning 以 warning 级呈现且不自动修复
- 已存在同级 rules 非破坏性 fix 时，破坏性兜底 fix 被抑制避免覆盖",高
合并测试阶段/yaml格式校验和修复/yaml不规范检测/智能识别/真冒号假冒号,能区分真冒号与引号内、网址、双冒号、flow 内冒号,"findYamlColon：跳过引号内冒号、排除 ""://""（URL）、排除 ""::""（时间戳/C++），并忽略 flow 集合 {}[] 内部的冒号。","步骤1:
准备含 ""a: b: c""（flow 内）、""url: http://x""、""time: 12::30""、""k: \""a: b\"""" 的 YAML
步骤校验并观察是否误报 R4
步骤查看诊断","【业务功能检查】
- URL 的 ""://"" 不触发 R4（非分隔冒号）
- 双冒号 ""::"" 不触发 R4
- 引号包裹值内的冒号不触发 R4
- flow 集合 {}[] 内部的冒号归 YAML 解析器管辖，不触发逐行 R4",高
合并测试阶段/yaml格式校验和修复/yaml不规范检测/豁免/合法YAML指示符,合法 YAML 指示符值不被误报为保留字符,isYamlIndicatorValue：值起始为块标量头/alias/anchor/tag/闭合 flow 集合时不触发 R7 加引号。,"步骤1:
准备 ""x: |""、""x: *ref""、""x: &a foo""、""x: !tag v""、""x: [a,b]""、""x: {a: 1}"" 各一例分别校验
步骤查看诊断","【业务功能检查】
- 上述合法指示符均不报 R7 保留字符
- 极端拼接非法指示符 ""!tag &anchor *alias >fold"" 不豁免，正确触发 R7
- 与 skill 脚本 YAML_INDICATOR_PATTERNS 行为一致",中
合并测试阶段/yaml格式校验和修复/yaml不规范检测/准确性/正常文件不误报,规范 YAML 文件不产生任何误报,满足 AC-2：正常 YAML 不误报、已知问题不漏报。规则对值等价 fix 与原行一致时不上报。,"步骤1:
准备一份规范的 YAML 案例文件（含嵌套 map、合法 flow、块标量、注释）
步骤校验该文件
步骤查看问题面板","【业务功能检查】
- 问题面板为空，无任何波浪线
- 含合法 block scalar / alias / anchor / tag / flow 的文件不误报
- 已加引号或本就规范的写法不重复报",高
合并测试阶段/yaml格式校验和修复/yaml不规范检测/执行顺序/由浅入深,检测按文件头→逐行→重复key→解析器的顺序执行,validateYamlContent：先 BOM，再逐行 YAML_RULES，再 YAML_FILE_RULES（F1），最后 parseAllDocuments 产出第三层。,"步骤1:
准备同时含 BOM、Tab 缩进、重复 key、深层嵌套错误的 YAML
步骤校验后按顺序查看诊断
步骤对照各问题 line 与类型","【业务功能检查】
- BOM 命中第 1 行
- 逐行规则覆盖对应行
- F1 重复 key 命中
- 解析器兜底 error 出现在深层问题行
- 整体汇总展示，先浅后深顺序稳定",中
合并测试阶段/yaml格式校验和修复/yaml不规范检测/性能/大文件防抖,编辑时按文件大小自适应防抖，避免卡顿,yamlValidationHandler.pickDebounceMs：普通文件 500ms、大文件（≥200KB）1200ms 防抖启动校验。,"步骤1:
打开一份普通 YAML（<200KB），修改内容后停手观察
步骤再准备一份 >200KB 的 YAML，重复修改观察
步骤对比两次校验触发时机","【业务功能检查】
- 普通文件约停止输入 0.5s 后触发校验
- 大文件约 1.2s 后才触发，减少频繁校验
- 修复后短时间内不重复校验（cooldown 600ms）
- 校验结果为异步发布，不阻塞编辑",中
合并测试阶段/yaml格式校验和修复/问题修复/单行修复/灯泡QuickFix,点击波浪线经灯泡菜单可单行修复,"YamlFixProvider：为每条 diagnostic 生成 CodeAction，点击灯泡 → 选 ""YAML · 第 N 行 · ..."" 即替换整行为 fix。","步骤1:
打开含格式问题的 YAML，等待波浪线出现
步骤将光标置于问题行，点击灯泡图标
步骤选择对应的 ""YAML · 第 N 行 · ..."" 修复项","【业务功能检查】
- 该行被替换为 fix 后的正确内容
- 修复后该行波浪线消失
- 同行多条修复分别作为独立 QuickFix 项出现
- 修复动作上报遥测 yaml.fix.applied",高
合并测试阶段/yaml格式校验和修复/问题修复/批量入口/修复全部,灯泡、右键、命令面板可一键修复全部,YAML_CMD_FIX_ALL：批量修复当前文件所有可自动修复问题，多轮迭代直至收敛。,"步骤1:
打开含多处格式问题的 YAML
步骤通过灯泡菜单 ""YAML · 修复全部""、或命令面板 ""YAML 格式修复""→修复全部、或右键菜单触发
步骤观察进度与收尾弹窗","【业务功能检查】
- 所有可修复行被修复
- 收尾提示""共修复 N 行 / M 处（R 轮），剩余 K 处问题""
- 标题含 error/warning 分布计数
- 修复被合并为单个撤销操作",高
合并测试阶段/yaml格式校验和修复/问题修复/批量入口/仅修复error,可只修复 error 级问题保留 warning,YAML_CMD_FIX_ALL_ERRORS：severityFilter=error，仅修复 error 级可修复行。,"步骤1:
准备同时含 error（如 Tab 缩进）与 warning（如行末空格）的 YAML
步骤执行""仅修复 error""
步骤查看结果与 warning 是否保留","【业务功能检查】
- 所有 error 级问题被修复
- warning 级问题保持不变
- 若剩余仅为级联兜底（注释化），受限模式拒绝执行并提示改用修复全部",高
合并测试阶段/yaml格式校验和修复/问题修复/批量入口/仅修复warning,可只修复 warning 级问题保留 error,YAML_CMD_FIX_ALL_WARNINGS：severityFilter=warning，仅修复 warning 级。,"步骤1:
准备同时含 error 与 warning 的 YAML
步骤执行""仅修复 warning""
步骤查看结果与 error 是否保留","【业务功能检查】
- 所有 warning 级问题被修复
- error 级问题保持不变
- 错误问题仍在问题面板，可后续单独处理",中
合并测试阶段/yaml格式校验和修复/问题修复/批量入口/修复选中范围,可对多行选区批量修复,YAML_CMD_FIX_RANGE：仅修复 startLine~endLine 范围内、且选区内可修复≥2 且<全量的问题。,"步骤1:
在 YAML 中选中一段含多行问题的范围（跨多行）
步骤通过灯泡 ""YAML · 修复选中范围"" 或 fixPick 选择器触发
步骤查看选区外是否被影响","【业务功能检查】
- 选区内可修复行被修复
- 选区外内容不受影响
- 选区内可修复<2 或=全量时不提供该入口
- 根因在选区外的级联错误会提示改用修复全部",高
合并测试阶段/yaml格式校验和修复/问题修复/批量入口/fixPick智能选择器,状态栏、右键、命令面板统一入口按需选择范围,YAML_CMD_FIX_PICK：不依赖灯泡，根据选区与诊断分布弹出 QuickPick（选中范围/全部/仅 error/仅 warning）。,"步骤1:
打开有问题的 YAML，点击右下角状态栏 ""YAML 修复 N"" 或命令面板 ""YAML 格式修复""
步骤在弹出的 QuickPick 中选择一项
步骤观察路由到对应修复命令","【业务功能检查】
- 未打开 YAML 时提示先打开文件
- 无问题时提示""没有检测到问题""
- 仅有不可自动修复错误时引导查看问题面板
- 选不同项分别路由到 fixRange/fixAll/fixAllErrors/fixAllWarnings",中
合并测试阶段/yaml格式校验和修复/问题修复/修复策略/单行多fix叠加,同一行多条修复可叠加应用,"fixDataStore：同一行支持叠加多条 fix（Map<line, fix[]>），单行 QuickFix 依次消费，批量取最终一条。","步骤1:
构造一行同时命中 R4+R5（如 ""enabled:yes""）或多条规则的 YAML
步骤校验后查看该行 QuickFix 列表与 fixDataStore
步骤执行修复","【业务功能检查】
- 该行出现多条可分别点击的修复项
- 批量修复时同一行多条 fix 按顺序叠加/以最终一条为准
- 不出现""同一条行重复修两次""的冲突",中
合并测试阶段/yaml格式校验和修复/问题修复/修复策略/一步到位与整体包裹,冲突规则合并为一步修复避免反复,去重优化：R4 让位 R5/R7；R5 让位 R6；R6 整体包裹值+紧贴#；一步到位优先。,"步骤1:
准备 ""key:value""（值含保留字符且无空格）、""desc: my #note""（值中#紧贴）各一例
步骤校验并查看生成的 fix
步骤执行修复观察是否一次到位","【业务功能检查】
- ""key:value"" 类直接生成带空格的引号 fix 一步到位
- ""desc: my #note"" 整体加引号包裹，保留真正的对齐尾注释
- 不出现先补空格再补引号的分两步中间态",中
合并测试阶段/yaml格式校验和修复/问题修复/修复策略/破坏性fix延迟与受限拒绝,注释化类兜底修复延迟到最后一轮并受场景限制,isIndentMismatchFallback / isCascadeFallbackFix：# [indent mismatch]/[unparseable] 推迟到最后一轮；选中范围/仅 error 受限模式全部为兜底时拒绝执行。,"步骤1:
准备会触发级联 same-column 错误的 YAML（如 ""name:hello"" 引发后续行报错）
步骤分别执行""修复全部""与""仅修复 error""
步骤观察注释化是否发生及收尾提示","【业务功能检查】
- 修复全部：先跑稳妥规则 fix，最后一轮才注释化兜底行
- 仅修复 error/选中范围：若只剩注释化兜底则拒绝执行，提示""级联解析错误，建议改用修复全部""
- duplicate key 注释化不属于级联兜底，可与规则 fix 同轮正常执行",高
合并测试阶段/yaml格式校验和修复/问题修复/多轮迭代/最多5轮收敛,修复后重新校验多轮迭代直至收敛,runYamlFixLoop：每轮修完重新 validateYamlContent 再拉 fix，最多 MAX_ROUNDS=5，本轮无实际替换则中止。,"步骤1:
准备一处需多轮才能修干净的深层错误 YAML
步骤执行""修复全部""
步骤观察轮次与最终剩余","【业务功能检查】
- 进行多轮（≤5）检查→修复→再检查
- 每轮对比内容是否有变化，无变化即停止避免死循环
- 收敛后报告实际轮数与剩余问题数",高
合并测试阶段/yaml格式校验和修复/问题修复/批量机制/从末行往前分批单撤销,批量修复从末行往前、分批、合并为单撤销,applyYamlFixes/runYamlFixLoop：按 line 降序写入避免行偏移；每 100 行一批、批间停顿 30ms；undoStop 合并。,"步骤1:
准备一份含大量（数百行）可修复问题的 YAML
步骤执行""修复全部""
步骤修复后按一次撤销键","【业务功能检查】
- 从最后一行往前逐行替换，无行号错位
- 分批执行（每批≤100 行）并有停顿保持流畅
- 所有修复合并为一个撤销操作，一次撤销全部回滚
- 进度通知展示轮次与批次",中
合并测试阶段/yaml格式校验和修复/问题修复/各问题修复方式/Tab与行内Tab,Tab 缩进与行内 Tab 按规范修复,R1 fix：行首每个 \t→2 空格；R2 fix：行内非引号非行末 Tab→1 空格。,"步骤1:
准备 ""key: v""（行首 Tab）与 ""k:\tv""（行内 Tab）的 YAML
步骤分别执行单行修复
步骤查看修复结果","【业务功能检查】
- 行首 Tab 被替换为 2 个空格
- 行内 Tab 被替换为 1 个空格
- 引号内 Tab 与行末空白区间 Tab 不处理",中
合并测试阶段/yaml格式校验和修复/问题修复/各问题修复方式/冒号空格与歧义值加引号,冒号缺空格补空格、歧义值智能加引号,"R4 fix 补空格；R5 fix 用 wrapValueWithQuote 智能选双/单引号（含""用'""、含'用""、否则用""）。","步骤1:
准备 ""name:hello"" 与 ""enabled:yes"" 的 YAML
步骤执行修复
步骤查看引号选择策略","【业务功能检查】
- ""name:hello"" → ""name: hello""
- ""enabled:yes"" → ""enabled: \""yes\""""（加引号）
- 值含双引号且有单引号时用双引号并转义内部双引号
- 值仅含双引号时用单引号包裹",中
合并测试阶段/yaml格式校验和修复/问题修复/各问题修复方式/值中井号与保留字符加引号,值中 # 与保留字符整体加引号修复,R6/R7 fix：整体加引号包裹值（仅包值+紧贴#伪注释）；合法指示符豁免。,"步骤1:
准备 ""url: http://a #b"" 与 ""v: {a,b}"" 的 YAML
步骤执行修复
步骤查看结果","【业务功能检查】
- ""url: http://a #b"" → 值整体加引号，保留对齐尾注释
- ""v: {a,b}"" → 加引号 ""v: \""{a,b}\""""
- 合法 flow [a,b] / 块标量 | 不被加引号",中
合并测试阶段/yaml格式校验和修复/问题修复/各问题修复方式/列表项缺空格与块标量头,列表项补空格、块标量头去引号修复,"R8 fix：""-"" 后补空格；R9 fix：去掉块标量头的引号使其生效。","步骤1:
准备 ""-item"" 与 ""desc: \""|\"""" 的 YAML
步骤分别执行修复
步骤查看续行是否被误注释","【业务功能检查】
- ""-item"" → ""- item""
- ""desc: \""|\"""" → ""desc: |""，后续多行内容恢复为合法块标量而非被注释
- 修复后重新校验相关行报错消失",中
合并测试阶段/yaml格式校验和修复/问题修复/各问题修复方式/重复key注释化,重复 key 行改为注释保留原内容,"F1 fix：重复出现的行改为 ""# [duplicate key removed] <原内容>""，保留原文供审计。","步骤1:
准备同一作用域内两个相同 key 的 YAML
步骤执行修复
步骤查看后行内容","【业务功能检查】
- 第二条同名 key 行被注释化
- 原内容完整保留在注释中，不丢数据
- 第一条（首次出现）不受影响
- 重新校验不再报该重复",中
合并测试阶段/yaml格式校验和修复/问题修复/各问题修复方式/嵌套map与缺闭合引号,嵌套 map 与缺闭合引号由解析器兜底修复,generateFixForParseError：嵌套 map→包裹值；缺闭合引号→补对应引号（单/双分别判断奇偶）。,"步骤1:
准备 ""  - a: {b: c}""（嵌套 map 误写）与 ""k: \""value""（缺后引号）的 YAML
步骤执行修复
步骤查看结果","【业务功能检查】
- 嵌套 map 行被包裹引号修复
- 缺闭合引号按单/双引号奇偶补上对应闭合引号
- 修复后重新校验该 parse error 消失",高
合并测试阶段/yaml格式校验和修复/问题修复/各问题修复方式/缩进不齐与无法识别注释化,缩进错位与无法归类错误兜底注释化,"generateFixForParseError：same column→""# [indent mismatch]""；通用兜底→""# [unparseable]""，保留原内容。","步骤1:
准备缩进严重错乱（All mapping items must start at same column）的 YAML
步骤再准备极端多指示符拼接无法自动构造的 YAML
步骤执行修复","【业务功能检查】
- 缩进错位行被注释化为 ""# [indent mismatch] ...""
- 无法识别行被注释化为 ""# [unparseable] ...""
- 原内容保留在注释中，避免污染整文档解析
- 此类破坏性 fix 在修复全部时最后一轮才生效",中
合并测试阶段/yaml格式校验和修复/问题修复/准确性/连续两次无新问题,同一文件连续修复两次不产生新问题,满足 AC-3：第二次校验不再产生新的同类问题。,"步骤1:
准备一份复杂不规范 YAML
步骤执行""修复全部""，记录剩余问题
步骤再次执行""修复全部""
步骤对比两次结果","【业务功能检查】
- 第二次执行后问题数不再增加
- 没有因修复引入新的格式错误
- 结果稳定收敛",高
合并测试阶段/yaml格式校验和修复/问题修复/准确性/修复后可解析数据不变,修复后文件可正常解析且语义不变,满足 AC-4：修复后 YAML.parse 成功，原数据含义保持不变。,"步骤1:
准备不规范 YAML 并修复
步骤用 YAML 解析库解析修复后的文件
步骤比对关键字段值与修复前一致","【业务功能检查】
- 修复后文件能被 YAML 解析器成功解析
- 加引号/补空格等操作不改变原字符串语义
- 注释化行原本即重复/错误内容，不丢有效数据",高
合并测试阶段/yaml格式校验和修复/问题修复/可取消与遥测/用户取消与上报,修复过程可取消并上报修复统计,runYamlFixLoop：withProgress cancellable；结束上报 yaml.fix.applied（fixCount/fixedLines/rounds/remaining 等）。,"步骤1:
打开含较多问题的 YAML，执行""修复全部""
步骤在进度通知中点击取消
步骤查看收尾提示与遥测","【业务功能检查】
- 取消后停止修复并显示""已修复 N 行，剩余 K 处""
- 正常完成显示修复统计信息
- 遥测含修复次数、修复行数、轮数、范围、剩余量等字段",中
合并测试阶段/yaml格式校验和修复/skill建设/清单/SKILL.md与frontmatter,skill 以 SKILL.md 定义元数据与触发协议,skills/yaml-format-fix/SKILL.md：含 name/version/description frontmatter，明确触发词与零 token 契约。,"步骤1:
打开 skills/yaml-format-fix/SKILL.md
步骤检查 frontmatter 字段与正文结构
步骤确认触发词覆盖常见表述","【业务功能检查】
- 存在 name= yaml-format-fix、version、description 三要素
- description 声明覆盖 12 类问题与双版本脚本
- When to Trigger 含""修复/检查/解析报错/lint/clean/格式化""等触发词
- 声明 HARD RULE：永远运行脚本、不把 YAML 内容读进上下文",高
合并测试阶段/yaml格式校验和修复/skill建设/清单/双版本脚本与零硬依赖,提供 JS 与 Python 双版本脚本且不强制依赖,scripts/fix-yaml.js 与 scripts/fix_yaml.py 行为对等；无 package.json/requirements.txt 硬依赖。,"步骤1:
检查 skills/yaml-format-fix/scripts/ 下两个脚本文件存在
步骤确认 scripts 目录未捆绑依赖声明文件
步骤分别查看两脚本头部的规则覆盖说明","【业务功能检查】
- fix-yaml.js 与 fix_yaml.py 均存在
- 两脚本均不要求安装 yaml 库即可运行（基础版）
- 两脚本头部声明 12 条规则（R1-R8+F1+P1-P4）完全一致
- 安装解析库后自动启用增强版，无需改配置",高
合并测试阶段/yaml格式校验和修复/skill建设/零token契约/不读文件进context,AI 不直接读 YAML 内容，仅执行脚本并转述,SKILL.md HARD RULE：LLM 只负责选 JS/Py、调 CLI、转述输出，绝不在对话中读取/分析/手改 YAML。,"步骤1:
模拟 AI 收到""修复这个 yaml""请求
步骤检查 skill 规定的处理流程
步骤确认禁止项","【业务功能检查】
- 流程要求直接运行 one of bundled scripts
- 明确禁止：基于 LLM 推理生成修复建议、手动编辑 YAML、猜测 parse 错误
- 所有检测修复逻辑在脚本内确定性完成
- LLM 仅消费极少 token 于执行与转述",高
合并测试阶段/yaml格式校验和修复/skill建设/运行模式/默认写回,默认模式检测并直接写回修复内容,fix-yaml.js/.py <file>：默认模式修复并写回原文件。,"步骤1:
准备不规范 YAML
步骤运行 node scripts/fix-yaml.js <file>
步骤查看文件是否被改写","【业务功能检查】
- 文件被原地修复写回
- 输出检测与修复摘要
- 退出码反映剩余问题状态",中
合并测试阶段/yaml格式校验和修复/skill建设/运行模式/预览dry-run,预览模式只报告不修改文件,--dry-run / -n：仅打印检测与 would-apply 摘要，不改文件。,"步骤1:
运行 node scripts/fix-yaml.js <file> --dry-run
步骤检查文件是否变化
步骤查看输出","【业务功能检查】
- 文件内容保持不变
- 输出问题明细与""将应用""的修复摘要
- 适合先确认再决定",中
合并测试阶段/yaml格式校验和修复/skill建设/运行模式/详细verbose,详细模式打印每条规则命中与前后对比,--verbose / -v：逐条打印 [RULE] 与 BEFORE/AFTER 行文本、APPLY 行。,"步骤1:
运行脚本 --verbose 处理含多种问题的 YAML
步骤查看输出
步骤确认首行标明 parser 层级","【业务功能检查】
- 每行命中打印规则 ID 与前后 JSON 引号文本
- APPLY 行标明实际被改写的行
- 首行打印 ""YAML parser: available / NOT AVAILABLE"" 标明能力层级",中
合并测试阶段/yaml格式校验和修复/skill建设/运行模式/JSON机器可读,JSON 模式输出结构化数据便于流水线,--json：输出单一 JSON 对象，含问题明细与修复统计。,"步骤1:
运行脚本 --json 处理 YAML
步骤解析 stdout 的 JSON
步骤确认字段完整","【业务功能检查】
- 输出为合法 JSON 对象
- 含能力级别、问题数量、可修复数量、问题明细、修复结果等字段
- 可接入自动化流水线消费",中
合并测试阶段/yaml格式校验和修复/skill建设/返回码/0-2-1,执行结果返回码符合约定,退出码：0=所有严重问题解决；2=仍有严重问题；1=工具运行错误（文件找不到/无权限）。,"步骤1:
分别构造：已修干净、仍有 error、文件不存在 三种场景运行脚本
步骤检查进程退出码
步骤对照需求 AC-8","【业务功能检查】
- 无剩余严重问题返回 0
- 仍有严重问题返回 2
- 文件找不到/无权限等返回 1
- 返回码与""修复全部""收尾提示逻辑一致",高
合并测试阶段/yaml格式校验和修复/skill建设/能力分级/Full与Basic,能力分增强版与基础版两级,Full（装 yaml 库）：R1-R8+F1+P1-P4 共 12 规则；Basic（无依赖）：R1-R8+F1 共 9 规则。,"步骤1:
在已安装与未安装 yaml 库两种环境分别运行脚本
步骤查看 --verbose 首行能力级别
步骤对比覆盖规则数","【业务功能检查】
- 已装 yaml 库：启用 P1-P4，约 99% 覆盖
- 未装：仅 R1-R8+F1，约 85% 覆盖
- 基础版仍覆盖全部空白/冒号/列表/歧义/保留字符/重复 key 情形",中
合并测试阶段/yaml格式校验和修复/skill建设/降级/无yaml库基础版可用,未安装解析库时基础版照常工作不报错,满足 AC-6：无 yaml 库时基础版 9 类问题照常检测修复，不报错。,"步骤1:
在纯净环境（无 yaml/PyYAML）运行脚本
步骤处理含逐行与重复 key 问题的 YAML
步骤查看结果","【业务功能检查】
- 脚本正常运行不报错
- 逐行规则与重复 key 均被正确检测并修复
- 仅 parser 级级联（缺引号/嵌套/缩进错位）被跳过",高
合并测试阶段/yaml格式校验和修复/skill建设/确定性/结果可重复,相同输入每次结果完全一致,SKILL.md：规则为纯字符串算法，结果确定可重复，无随机性。,"步骤1:
对同一不规范 YAML 连续多次运行脚本
步骤对比每次的输出与写回内容
步骤确认一致","【业务功能检查】
- 多次运行输出完全一致
- 写回文件内容逐字节相同
- 便于 CI 幂等校验",中
合并测试阶段/yaml格式校验和修复/skill建设/多轮收敛/最多5轮,解析器级问题需跑 1~2 次收敛,脚本处理流程：检测→修复→再检测，parser 级级联错误需 1~2 次收敛；与编辑器多轮上限一致。,"步骤1:
准备需多轮才能修干净的深层错误 YAML
步骤运行一次查看剩余，再运行一次
步骤观察是否收敛","【业务功能检查】
- 首次运行修复大部分问题，可能残留 parser 级错误
- 第二次运行（或编辑器多轮≤5）收敛为干净状态
- 输出给出""需再跑一次""的提示",中
