路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/批量推送案例/每文件独立结果/部分失败,单文件部分行失败标记为 warning 且成功行已写回,"failCount>0 且 successCount>0 → status=warning, resultType=partialFail；成功行 testCaseNo 仍回写。","步骤1:
准备一个文件含若干合法行加若干失败行
步骤2:
批量推送","【业务功能检查】
- 文件状态 warning
- 弹窗列出失败行号与原因
- 成功行已写回 testCaseNo、失败行保留红色高亮",高
合并测试阶段/批量推送案例/每文件独立结果/目录不合规,单文件不在合规目录下标记 error 且不调后端,pushSingleFile：FileTypeChecker.isQualifiedFile 不通过 → 返回 error（successCount=0），不进解析/后端。,"步骤1:
混入一个位于非 测试任务/<任务>/测试案例/ 下的文件
步骤2:
批量推送
步骤3:
观察该文件","【业务功能检查】
- 该文件状态 error
- 不发起后端请求
- 提示「文件不在合规目录下」
- 不影响批次中其它文件",高
合并测试阶段/批量推送案例/每文件独立结果/YAML语法错,批量中 YAML 文件语法错误被前置拦截并标记 error,pushSingleFile：先 validateYamlSyntax，有错直接返回 error，不进解析与后端。,"步骤1:
批量含一个语法错误 YAML
步骤2:
推送","【业务功能检查】
- 该 YAML 文件状态 error
- 错误信息含行号与摘要
- 不进后端；其余文件正常",中
合并测试阶段/批量推送案例/每文件独立结果/解析失败,单文件解析异常标记 error 且不中断整个批次,parseFileToRows 抛错 → 返回 error；批次 continue 到下一文件。,"步骤1:
准备一个损坏或无法解析的文件混入批量
步骤2:
推送","【业务功能检查】
- 该文件标记 error
- 其余文件继续推送
- 不中断整个批次",中
合并测试阶段/批量推送案例/每文件独立结果/空文件,单文件无有效数据标记 error 且 total=0,rows 为空 → 返回 error '文件无有效数据'（total=0），不进后端。,"步骤1:
批量含一个只有表头无数据的 CSV
步骤2:
推送","【业务功能检查】
- 该文件 error、total=0
- 不进后端
- 批次继续推进",中
合并测试阶段/批量推送案例/每文件独立结果/未绑定任务,单文件未绑定任务时标记 error 且不影响其它文件,pushSingleFile 内 runPush onUnbound → pushError='未绑定任务' → 返回 error。,"步骤1:
批量含一个未绑定任务目录下的文件
步骤2:
推送","【业务功能检查】
- 该文件 error 提示未绑定
- 其余已绑定文件正常推送",高
合并测试阶段/批量推送案例/批次结束刷新/仅开面板刷新,批量结束仅对当前已打开的 webview 面板刷新一次,批次结束后遍历 results，仅对 BaseEditorProvider.getPanel(filePath) 存在者调 postExplorerPushRefresh；未打开者跳过（由 pushFailureStore 持久化，用户打开时经 init 恢复）。,"步骤1:
批量推送多个文件，其中仅部分在编辑器中打开
步骤2:
批次结束
步骤3:
核对刷新范围","【业务功能检查】
- 已打开面板收到一次刷新（编号/高亮对齐）
- 未打开面板不被刷新（避免循环抖动）
- 埋点 batch.postRefresh 含 refreshed、total",高
合并测试阶段/批量推送案例/批次结束刷新/失败态刷新,已打开面板按是否含失败态触发对应高亮更新,"hasFailure = !!error || failCount>0；postExplorerPushRefresh(filePath, hasFailure)。","步骤1:
打开一个批量中含失败行的文件面板
步骤2:
批次结束
步骤3:
观察高亮","【业务功能检查】
- 含失败文件刷新为失败高亮态
- 全成功文件刷新清除高亮",中
合并测试阶段/批量推送案例/总结与跳转/总结面板,批量结束弹出总结面板汇总成功、失败、错误文件数,"progressPanel.done(results,...)：展示每文件结果与顶部汇总（总成功/总失败/错误文件数/取消状态）。","步骤1:
批量推送多文件（混合结果）
步骤2:
批次结束
步骤3:
查看总结面板","【业务功能检查】
- 总结列出每个文件名与成功/失败/错误
- 顶部汇总总成功/总失败/错误文件数
- 取消状态可见",高
合并测试阶段/批量推送案例/总结与跳转/文件名可点击,总结面板文件名可点击打开对应文件并展示该文件推送结果,done 回调：点击 → ensureOpenedInTestcaseEditor + showPushResult 展示该文件明细；埋点 batch.openFile。,"步骤1:
批量后出现总结
步骤2:
点击某失败文件名
步骤3:
观察","【业务功能检查】
- 点击后打开对应文件
- 弹窗展示该文件成功/失败/行号明细
- 埋点 batch.openFile 含 ext、hasError",高
合并测试阶段/批量推送案例/总结与跳转/点击错误文件,点击 error 文件弹窗展示错误原文而非成功计数,"done 回调对 result.error 走 showPushResult(0, [], total, error)。","步骤1:
批量含 error 文件
步骤2:
点击其文件名","【业务功能检查】
- 弹窗以错误原文展示（如未绑/不在合规目录）
- successCount=0
- 不显示成功明细",中
合并测试阶段/批量推送案例/汇总埋点/批次完成埋点,批次完成埋点 explorerPush.batch.done 含汇总维度,汇总 totalSucc/totalFail/errorFiles/cancelled/durationMs/extBreakdown 发送。,"步骤1:
批量推送混合文件
步骤2:
抓取埋点","【业务功能检查】
- 含 fileCount
- totalSucc/totalFail 与各行汇总一致
- errorFiles=有 error 的文件数
- durationMs>0，extBreakdown 含类型分布",中
合并测试阶段/批量推送案例/汇总埋点/每文件结果埋点,每文件结果埋点 explorerPush.batch.fileResult 含 succ、fail、total、resultType,每文件推送完发 fileResult，resultType ∈ success/partialFail/error。,"步骤1:
批量推送混合结果
步骤2:
抓取每文件埋点","【业务功能检查】
- 每个文件一条 fileResult
- succ/fail/total 与文件内一致
- resultType 与状态映射一致",中
合并测试阶段/批量推送案例/汇总埋点/批量启动埋点,批量启动埋点 explorerPush.batch.start 含文件数与扩展名分布,"批次启动发 telemetry：{fileCount, extBreakdown}（extBreakdown 形如 csv:2,yaml:1）。","步骤1:
批量推送混合扩展名文件
步骤2:
抓取启动埋点","【业务功能检查】
- 埋点 explorerPush.batch.start 存在
- fileCount 与收集文件数一致
- extBreakdown 反映各扩展名数量",中
合并测试阶段/批量推送案例/边界与来源分流/来源拆批,单文件内按 testcase_id 来源拆两批各自独立调用后端,pushCore.splitRowsByPushSource：TC_SOURCE_PATTERN=/^TC[0-9a-f]{32}$/i 命中→testAgent，其余（MA/标准UUID）→testAgentMA；两批独立调接口，结果按全局行号合并。,"步骤1:
一个文件同时含 TC+uuid.hex 行与 MA/UUID 行
步骤2:
批量推送
步骤3:
核对分两批","【业务功能检查】
- 两类来源各自进入对应批次
- 后端收到两次调用（testAgent、testAgentMA）
- 结果按行号正确合并、无错位",高
合并测试阶段/批量推送案例/边界与来源分流/超行数上限,单文件超过 maxRows 单次推送上限被拦截提示分批,stepCheckMaxRows：rowCount>maxRows(默认 5000) → aborted reason=exceedMaxRows，不调接口。,"步骤1:
准备含超过 5000 行的案例文件
步骤2:
批量推送该文件
步骤3:
观察","【业务功能检查】
- 提示「超过单次上限 5000 行，请分批」
- 不发起后端请求
- 埋点 aborted.exceedMaxRows",中
合并测试阶段/批量推送案例/边界与来源分流/混合扩展名,批量可同时含 csv、yaml、yml、json 多种扩展名,PUSH_EXTENSIONS 含四扩展名；批量逐文件各自解析与推送。,"步骤1:
批量选 csv+yaml+yml+json 各一个
步骤2:
推送","【业务功能检查】
- 四种扩展名均被收集并各自推送
- 各自按对应解析器处理
- 汇总正确",中
合并测试阶段/批量推送案例/边界与来源分流/预校验剔除,批量中某行 testcase_id 为占位、空或非法格式被剔除不推送该行其余行照常,runValidators 占位/空/格式三类，命中行从 payload 剔除，剩余行推送；全部命中则短路不调接口。,"步骤1:
一个文件含 1 行占位 + 1 行非法格式 + 2 行合法
步骤2:
批量推送","【业务功能检查】
- 占位/非法行被拦截不进后端
- 2 行合法行成功推送
- 弹窗失败明细列出被剔除行号",高
合并测试阶段/批量推送案例/边界与来源分流/全样例终止,批量中某文件全部为样例数据时被终止并提示不阻断其它文件,单文件过滤后无业务行 → onOnlySampleRows；该文件以 0 成功/样例错误呈现，批次继续。,"步骤1:
批量含一个纯样例文件加一个真实文件
步骤2:
推送","【业务功能检查】
- 纯样例文件标记为样例错误并提示行号
- 真实文件正常推送
- 二者在总结中分别呈现",中
合并测试阶段/批量推送案例/单文件分支/单文件走编辑器,仅选 1 个文件时走编辑器内推送完整流程而非批量,handleFilePush：totalFiles===1 复用 ensureOpenedInTestcaseEditor + runPush + 内嵌弹窗，不弹批量进度面板。,"步骤1:
仅右键单个案例文件推送
步骤2:
观察","【业务功能检查】
- 不出现批量进度面板
- 在编辑器内弹窗展示结果
- 与编辑器内推送行为一致",高
合并测试阶段/批量推送案例/单文件分支/确保打开webview,单文件推送前确保以 testcase 编辑器打开并等待就绪,ensureOpenedInTestcaseEditor：已开则 reveal+waitReady；未开则 vscode.openWith + waitReady(8000)。,"步骤1:
关闭该文件编辑器后右键推送
步骤2:
观察","【业务功能检查】
- 文件自动以 testcase 编辑器打开
- 等待 webview ready 后才推送
- 校验错误也能在页面居中弹窗",中
合并测试阶段/批量推送案例/入口与文件收集/文件与文件夹混合选择,右键同时选中文件与文件夹批量推送合并收集,collectPushableFiles 接受 Uri[]，同时含文件与目录时分别处理：文件按扩展名过滤加入，目录递归收集；最终合并为同一有序列表。,"步骤1:
资源管理器内同时选中 2 个 .csv 文件与 1 个含案例子目录的文件夹
步骤2:
右键「推送测试案例」
步骤3:
核对进度面板收集到的文件集合","【业务功能检查】
- 选中的散文件与文件夹内递归文件一同被收集
- 文件夹中子目录文件也在列
- 总数=散文件合规数+文件夹递归合规数
- 排序/扩展名过滤逻辑仍生效",中
合并测试阶段/批量推送案例/每文件独立结果/任务信息获取失败,单文件已绑任务但拉取任务信息失败标记错误,pushSingleFile 内 runPush：已绑任务但任务信息接口异常（网络/5xx）→ onTaskInfoFailed 置 pushError，文件标记 error 且不再调推送接口。,"步骤1:
准备一个已绑定任务目录下的合规文件
步骤2:
模拟该文件对应任务信息接口异常
步骤3:
将其混入批量推送","【业务功能检查】
- 该文件状态 error
- 提示「未能获取任务信息」相关文案
- 不发起案例推送接口
- 其余文件正常推送",高
合并测试阶段/批量推送案例/每文件独立结果/全部行后端失败,单文件所有行后端返回失败标记全失败,后端接口对整批返回非成功，runPush 将全部行拆为失败项；status=warning、failCount=total、successCount=0、error 为 undefined（区别于 error 状态）。,"步骤1:
准备一个全部案例行后端校验失败的合规文件
步骤2:
批量推送
步骤3:
观察该文件结果","【业务功能检查】
- 文件状态 warning（非 error）
- failCount=total、successCount=0
- error 字段为空
- 总结中显示为「成功 0 / 失败 N / 共 N 条」",高
合并测试阶段/批量推送案例/每文件独立结果/案例编号回写失败,后端成功但案例编号回写失败标记错误,pushSingleFile 内 onWriteBackFailed：后端推送成功但 testCaseNo 写回原文件失败 → pushError 追加「案例编号回写失败」，最终该文件以 error 呈现（successCount 被强制 0）。,"步骤1:
准备一个后端可成功推送但本地写回被拒（只读/锁）的文件
步骤2:
批量推送
步骤3:
观察该文件结果","【业务功能检查】
- 后端实际已成功创建案例
- 该文件最终状态 error
- 提示含「案例编号回写失败」
- 总结中 successCount 显示为 0（与""已创建但未回写""语义一致）",高
合并测试阶段/批量推送案例/每文件独立结果/推送流程未预期异常,单文件推送流程抛出未预期异常被兜底标记错误,pushSingleFile 内 runPush 顶层未捕获异常 → onUnexpectedError 置 pushError，文件标记 error，不影响批次其它文件。,"步骤1:
准备一个触发 runPush 内部非预期异常的文件（如中间件异常）
步骤2:
混入批量推送","【业务功能检查】
- 该文件标记 error
- 异常不影响其余文件继续推送
- 批次结束后总结仍包含该文件错误项",中
合并测试阶段/批量推送案例/总结与跳转/总结面板搜索过滤,总结面板可按文件名或路径搜索过滤,progressPanel.done 渲染的总结视图含搜索框，输入关键字实时过滤文件名与 tooltip 路径，显示「X / Y 个文件」匹配计数，无匹配显示「未找到匹配的文件」。,"步骤1:
批量推送多文件（文件名各异）后进入总结
步骤2:
在搜索框输入某文件名关键字
步骤3:
观察列表与计数；输入不存在的关键字","【业务功能检查】
- 仅匹配文件名/路径的行可见
- 显示「可见数 / 总数 个文件」
- 无匹配时显示「未找到匹配的文件」
- 清空关键字恢复全部",中
合并测试阶段/批量推送案例/总结与跳转/进度阶段点击文件打开,进度视图文件行也可点击直接打开文件,进度阶段 buildProgressHtml 的文件行绑定 click → progressOpenFile，按相对路径拼接 workspaceRoot 打开文件；不限于总结视图。,"步骤1:
批量推送多个文件（停留进度视图，未结束）
步骤2:
点击进度面板中某一文件行","【业务功能检查】
- 对应文件在编辑器中被打开
- 不影响正在进行的推送流程
- 与总结视图点击行为一致",中
合并测试阶段/批量推送案例/取消控制/进度中关闭面板等同取消,进度阶段直接关闭面板视为取消推送,progressPanel 在进度阶段（_done=false）收到 closePushProgress（点 X / Esc）→ _cancelled=true，剩余文件不再推送；区别于总结阶段关闭不置取消。,"步骤1:
批量推送多个较慢文件
步骤2:
进度进行中点击面板关闭/按 Esc
步骤3:
核对已处理与剩余","【业务功能检查】
- 关闭后面板销毁、_cancelled=true
- 已完成的文件结果被保留
- 剩余文件不再发起后端请求
- 与点击「取消推送」按钮行为一致",中
合并测试阶段/批量推送案例/批次结束刷新/无打开面板则不发postRefresh埋点,结果文件面板均未打开时不发送刷新埋点,handleFilePush 批次结束遍历 results，仅对 BaseEditorProvider.getPanel 存在者刷新；若所有文件面板均未打开，refreshedPanelCount=0，则不发送 explorerPush.batch.postRefresh 埋点。,"步骤1:
关闭所有测试案例编辑器
步骤2:
批量推送多个文件（均不在编辑器中打开）
步骤3:
批次结束抓取埋点","【业务功能检查】
- 已打开面板数 refreshed=0
- 不发送 explorerPush.batch.postRefresh 埋点
- 失败态由 pushFailureStore 持久化，用户后续打开文件经 init 恢复",中
