路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/案例编辑器增强/单元格编辑/复制粘贴含换行单元格,含换行的单元格复制粘贴后换行保留,将含手动换行（多行）的单元格内容复制并粘贴到同表其它单元格（或跨文件），粘贴后目标单元格保留全部换行符，不丢失、不合并为单行。,"步骤1:
在含多行内容的单元格按 Ctrl/Cmd+C 复制
步骤2:
选中目标空白单元格按 Ctrl/Cmd+V 粘贴
步骤3:
打开目标单元格核对内容行数","【业务功能检查】
- 粘贴后目标单元格内容与源单元格行数一致
- 所有换行符完整保留，未合并为单行
- 跨文件粘贴时换行同样保留",中
合并测试阶段/案例编辑器增强/单元格编辑/换行内容撤销重做,手动换行的插入与删除可撤销重做,插入换行（Alt+Enter）及删除含换行的单元格内容均属于可撤销操作，撤销后恢复为修改前状态，重做后恢复含换行内容。,"步骤1:
在单元格内按 Alt+Enter 插入换行并保存
步骤2:
执行一次撤销，观察换行是否消失
步骤3:
执行重做，观察换行是否恢复","【业务功能检查】
- 撤销后单元格恢复为插入换行前的单行内容
- 重做后含换行的多行内容恢复
- 撤销/重做不破坏其它单元格",中
合并测试阶段/案例编辑器增强/单元格编辑/换行内容推送导出保留,带换行的字段推送与导出保持多行,单元格字段含手动换行时，推送 payload 与导出文件均保留真实换行符（非转义为一行或丢换行），后端收到的是含换行的值。,"步骤1:
在文本列输入含 Alt+Enter 换行的多行内容并保存
步骤2:
对该文件执行推送，抓取 payload 中该字段值
步骤3:
导出/保存文件，查看该字段原始内容","【业务功能检查】
- 推送 payload 该字段值包含真实换行符（多行）
- 导出文件该字段保留换行（CSV 引号包裹 / YAML 块标量）
- 后端收到的不是被合并的单行字符串",中
合并测试阶段/案例编辑器增强/单元格编辑/行高拖拽不破坏换行,手动调整行高不影响已插入的真实换行,用户拖拽行高放大或缩小单元格显示高度时，仅改变可视区域，已插入的真实换行符（逻辑分段）不受影响；缩小行高时多行内容可滚动或截断查看但不丢换行。,"步骤1:
在单元格插入多行换行内容并保存
步骤2:
拖拽该行行高由高变低，再由低变高
步骤3:
重新打开编辑核对换行数量","【业务功能检查】
- 行高变化不改变字段值中的换行符数量
- 缩小行高时换行内容仍在（可视截断不丢数据）
- 恢复行高后多行展示与之前一致",中
合并测试阶段/案例编辑器增强/单元格编辑/空单元格换行无副作用,空单元格按 Alt+Enter 不产生脏数据,在空单元格（无内容）编辑态按 Alt+Enter 插入换行但不输入任何字符即提交，不应生成含空行的脏数据；空换行应被规范化处理为空值或单空行，不污染回写。,"步骤1:
双击进入空单元格编辑态
步骤2:
仅按 Alt+Enter 插入换行，不输入字符直接提交
步骤3:
查看落盘文件中该字段内容","【业务功能检查】
- 空单元格仅换行不输入时，回写不为空字符串加换行之类的脏值
- 规范化后为空值或符合预期的空占位
- 不影响该行其它字段与推送",中
合并测试阶段/案例编辑器增强/行操作/右键复制选中多行,选中多行后右键可复制选中行,在案例编辑器选中多行（行号区多选 / 框选跨多行）后，右键菜单出现「复制选中行 (N)」入口；点击后将选中多行作为新增行复制到各自源行下方，生成新的 testcase_id、清空已回写的 testCaseNo，明细结构一致。,"步骤1:
在案例编辑器选中连续的多行（如第 3~5 行）
步骤2:
右键打开行操作菜单，确认出现「复制选中行 (3)」入口
步骤3:
点击该入口，观察新生成行的位置与内容
步骤4:
核对新行的 testcase_id 与 testCaseNo 列","【业务功能检查】
- 选中多行（>1）时右键菜单出现「复制选中行 (N)」且可点击；仅选 1 行时不出现此入口
- 选中几行即生成几行新行，内容继承自对应源行
- 新行 testcase_id 重新生成（与源行不同），testCaseNo 清空（由推送响应回写）
- 新行明细结构（对象 / 步骤列表）与源行一致，无结构错位",高
合并测试阶段/案例编辑器增强/行操作/右键复制单行(在下方复制此行),单行右键提供在下方复制此行,仅选中/定位单行时，右键菜单提供「在下方复制此行」入口（而非「复制选中行」），点击后在当前行下方插入一份副本。,"步骤1:
将光标定位在某行（仅该行，未多选）
步骤2:
右键打开行操作菜单，确认出现「在下方复制此行」
步骤3:
点击后在下方查看副本","【业务功能检查】
- 单行场景右键出现「在下方复制此行」入口
- 点击后在当前行正下方生成一份内容相同的副本
- 副本 testcase_id 重新生成、testCaseNo 清空",中
合并测试阶段/案例编辑器增强/行操作/复制多行顺序正确,复制多行时各副本紧跟其源行且顺序一致,复制多行时按「从后往前」逐行插入副本，保证每条副本紧贴其源行下方，最终顺序为 源1、副本1、源2、副本2……，不出现整段后置或顺序颠倒。,"步骤1:
依次选中第 2、3、4 行（三行连续）
步骤2:
右键「复制选中行 (3)」
步骤3:
查看插入后整表行序","【业务功能检查】
- 插入结果为 2、2'、3、3'、4、4'（' 为副本），每条副本紧邻其源行
- 源行内容未因复制而被动
- 行号与后续行索引整体顺延正确",高
合并测试阶段/案例编辑器增强/行操作/复制行不共享引用,复制行的数组-对象单元格不与源行共享引用,复制产生的副本对数组、对象类单元格采用深拷贝，修改副本的明细内容不影响源行，反之亦然。,"步骤1:
对某含步骤对象的行执行复制
步骤2:
打开副本的步骤弹窗，修改其中一项内容并保存
步骤3:
打开源行同列弹窗，核对源行内容","【业务功能检查】
- 副本的明细修改不影响源行（无共享引用）
- 源行修改同样不影响已生成的副本
- 两侧内容相互独立",中
合并测试阶段/案例编辑器增强/行操作/复制行同步标记与高亮偏移,复制插入后既有标记-高亮行号正确顺延,复制多行插入副本后，已有的用户标记、推送高亮、修改标记等按行索引正确顺延，不出现错位或丢失。,"步骤1:
预先标记第 6 行（复制操作会使其后移）
步骤2:
选中前几行执行复制选中行
步骤3:
检查第 6 行原标记当前所在行号是否正确顺延","【业务功能检查】
- 复制插入导致后续行下移时，既有标记/高亮跟随新行号
- 标记高亮不丢失、不错位到错误行",中
合并测试阶段/案例编辑器增强/行操作/复制行可撤销,复制操作整体可一次撤销,复制选中行 / 在下方复制此行属于可撤销操作，一次撤销即移除全部生成的副本，恢复至复制前状态。,"步骤1:
选中多行执行复制选中行
步骤2:
执行一次撤销（Undo）
步骤3:
检查副本是否被整体移除","【业务功能检查】
- 一次撤销移除全部生成的副本行
- 表格恢复至复制前状态，行号/标记无残留",中
合并测试阶段/案例编辑器增强/行操作/复制行边界-空选与全选,空选不复制、全选复制全部行,未选中任何行（右键菜单隐藏复制入口）；框选全部行时「复制选中行」按全部行数生成副本。,"步骤1:
不选中任何行，右键查看菜单，确认无复制入口
步骤2:
框选文件全部行，右键「复制选中行 (总数)」
步骤3:
核对生成副本数量与位置","【业务功能检查】
- 无选中时复制入口不出现，不会误生成副本
- 全选时复制行数等于总行数，每条源行后紧跟副本",中
合并测试阶段/案例编辑器增强/行操作/复制行后推送定位,复制生成的新行可正常推送并被后端正确识别,复制生成的新行（含重新生成的 testcase_id）可被正常推送；推送失败时失败行定位准确指向副本行。,"步骤1:
复制若干行生成副本，使副本 testcase_id 唯一
步骤2:
对包含副本的文件执行推送
步骤3:
若存在失败，确认失败行号指向正确的副本行","【业务功能检查】
- 副本行作为新增行被推送，testcase_id 唯一不冲突
- 失败定位行号准确对应副本行，不指向源行",中
合并测试阶段/案例编辑器增强/新行弹窗编辑/数字字段实时校验,数字字段非法时即时提示且保存拦截,数字类字段实时校验：输入非法数字时即时提示，保存时拦截并指明是第几项不合法。,"步骤1:
在明细弹窗某数字类型字段输入非数字内容（如「abc」或「1.2.3」）
步骤2:
观察输入过程中的提示
步骤3:
点击保存，观察是否被拦截","【业务功能检查】
- 输入非法数字时即时出现校验提示
- 点击保存被拦截，提示指明是第几项（如「第 N 项不是合法数字」）
- 合法数字可正常保存",高
合并测试阶段/案例编辑器增强/新行弹窗编辑/空结构兜底,新行对象骨架为空时自动补空结构可编辑,若新行对象尚无任何字段，弹窗自动按字段骨架补出一条空结构并标记为可保存，确保用户总能进入编辑而非卡死。,"步骤1:
构造一个对象列字段骨架为空的场景（如上一行同列也无字段）
步骤2:
插入新行并打开该对象列弹窗","【业务功能检查】
- 弹窗自动补出空结构（数组置空数组、对象置空对象、其余置空文本）
- 弹窗处于可保存状态，用户可继续编辑
- 不出现卡死或空白弹窗",中
合并测试阶段/案例编辑器增强/步骤对象/结构化展示,步骤对象主表可点击且弹窗左右分栏,主表步骤类列以可点击入口呈现；点击后弹窗左侧为步骤列表（显示操作 / 名称 / 编号 / 标识），右侧为当前步骤字段编辑区（文本 / 数组 / 对象三类）。,"步骤1:
在含步骤对象的案例文件中，定位 steps 列
步骤2:
点击该列单元格的可点击入口
步骤3:
观察弹窗布局与字段分类","【业务功能检查】
- 主表 steps 列以可点击入口（非纯文本）呈现
- 弹窗左侧列出步骤（优先显示操作，其次名称 / 编号）
- 右侧字段按文本 / 数组 / 对象三类分区编辑",高
合并测试阶段/案例编辑器增强/步骤对象/推送正确解析,推送时步骤对象按对象结构下发不丢嵌套,推送阶段，步骤对象内容必须被正确还原为对象结构后传给后端，而非当作字符串或丢失嵌套层级；嵌套子对象、子数组均保持原结构下发。,"步骤1:
在 steps 列构造一个含嵌套子对象 / 子数组的步骤对象
步骤2:
推送该文件并抓取其下发到后端的数据结构","【业务功能检查】
- 后端收到的 steps 为对象 / 对象数组结构
- 嵌套的子对象、子数组层级完整保留
- 不被序列化成一整段字符串",高
合并测试阶段/案例编辑器增强/步骤对象/空与非法处理,空占位不报错、非法对象推送提示,步骤对象为空占位时视为可编辑占位不报错；内容为非合法结构时推送给出明确提示，不静默以错误结构下发；保存时明确为空的字段不写回。,"步骤1:
将某行 steps 设为空占位（{}），保存文件
步骤2:
将某行 steps 设为非法结构（如缺失关键层级），尝试推送
步骤3:
检查保存后文件中空字段是否被写回","【业务功能检查】
- 空占位保存 / 展示不报错
- 非法结构推送时弹出明确提示（如「步骤内容非合法对象」）
- 明确为空的字段（空文本 / 空数组）不写回文件",中
合并测试阶段/案例编辑器增强/标记功能/标记范围与触发,支持单元格与整行标记,支持对单元格与整行标记：选中整行即整行标记；框选一片单元格按行展开标记；右键单格单格标记；过滤视图下标记只作用于当前可见行。,"步骤1:
选中一整行右键「标记」选颜色
步骤2:
框选 3 行 2 列的区域右键「标记」
步骤3:
在仅看失败等过滤视图下对可见行标记","【业务功能检查】
- 整行标记使该行整行高亮
- 框选区域按行展开标记
- 过滤视图下仅可见行被标记，隐藏行不被误标",高
合并测试阶段/案例编辑器增强/标记功能/颜色选择,标记提供背景色与字体色双调色板,点击「标记」弹出颜色选择器，提供背景色与字体色两套调色板并实时预览；确认后标记以彩色高亮呈现。,"步骤1:
右键单元格选择「标记」
步骤2:
在颜色选择器分别切换背景色与字体色
步骤3:
观察单元格预览与确认后效果","【业务功能检查】
- 颜色选择器同时提供背景色、字体色调色板
- 选择时单元格实时预览
- 确认后标记以所选颜色高亮呈现",中
合并测试阶段/案例编辑器增强/标记功能/取消标记,取消标记按逐格减法精确剔除,选中已标记区域执行「取消标记」，系统按逐格减法精确剔除落在选区内的标记，未被覆盖的部分保留。,"步骤1:
标记一个 3 行 3 列的大矩形区域
步骤2:
框选其中 1 行 2 列的小区域执行取消标记
步骤3:
检查剩余标记","【业务功能检查】
- 仅选区内标记被移除
- 选区外原标记完整保留
- 不发生整片清除",高
合并测试阶段/案例编辑器增强/标记功能/标记状态属性,标记为纯视觉不污染数据可撤销,标记为纯视觉状态，不修改单元格实际数据值、不参与推送、不影响导出；标记 / 取消均支持撤销恢复；标记可持久化跨刷新保留。,"步骤1:
标记若干单元格后推送文件，检查推送 payload 是否含标记信息
步骤2:
导出 / 保存文件，检查数据内容是否被标记改动
步骤3:
执行撤销，确认标记可恢复","【业务功能检查】
- 推送 payload 不含任何标记字段，数据值不变
- 导出 / 保存后单元格原始数据未被标记改动
- 标记 / 取消均可撤销",高
合并测试阶段/案例编辑器增强/标记功能/仅看已标记行,工具栏可按标记过滤只显示标记行,工具栏提供「仅看已标记行」开关，开启后表格只显示被标记的行（整行标记或任一单元格被标记均计入）；与其它过滤（仅看失败 / 修改 / 新增 / 删除）互斥。,"步骤1:
标记若干分散的行（含整行标记与单格标记）
步骤2:
点击工具栏「仅看已标记行」
步骤3:
同时尝试开启「仅看失败」等其它过滤","【业务功能检查】
- 表格仅显示被标记的行（含仅单元格被标记的行）
- 开启「仅看已标记行」后其它过滤被自动关闭，视图单一
- 退出后全部行恢复显示",高
合并测试阶段/案例编辑器增强/标记功能/过滤按钮联动,无标记时按钮置灰、有标记显示计数,当前无标记行时按钮置灰不可点并提示「暂无已标记行」；存在标记时按钮显示当前标记行数；开启过滤后高亮并提示退出；标记全清时自动退出过滤。,"步骤1:
无任何标记时点「仅看已标记行」按钮
步骤2:
标记 3 行后查看按钮文案与状态
步骤3:
取消全部标记，观察按钮","【业务功能检查】
- 无标记时按钮置灰不可点，tooltip 提示暂无已标记行
- 有标记时按钮显示计数（如「仅看已标记行 (3)」）
- 标记全清后自动退出过滤态，恢复全部行",中
合并测试阶段/案例编辑器增强/标记功能/与搜索列筛选叠加,标记过滤可与搜索-列筛选叠加为与关系,「仅看已标记行」可与关键字搜索、列筛选叠加使用，最终只显示「既被标记、又命中搜索 / 列筛」的行。,"步骤1:
标记若干行，其中部分含特定关键字
步骤2:
开启「仅看已标记行」并在搜索框输入该关键字
步骤3:
观察最终可见行","【业务功能检查】
- 最终仅显示「既被标记又命中搜索」的交集行
- 工具栏标记过滤与搜索各自呈现激活态
- 关闭任一方后交集条件相应放宽",中
合并测试阶段/案例编辑器增强/字段保护/删除限制,冻结列与受保护列禁止删除,列删除前双重保护：冻结列（如 testcase_id）禁止删除；受保护列（业务配置声明）禁止删除；正常右键菜单对受保护列直接隐藏删除入口，运行时校验为二次防御。,"步骤1:
对 testcase_id 冻结列右键，查看删除菜单项
步骤2:
对某业务配置为受保护的列右键，查看删除菜单项
步骤3:
尝试通过其它途径触发删除并观察拦截","【业务功能检查】
- 冻结列右键无删除入口，强行触发时提示「冻结列不可删除」
- 受保护列右键无删除入口，强行触发时提示「受保护列不可删除」
- 正常列删除不受影响",高
合并测试阶段/案例编辑器增强/字段保护/重命名限制,冻结列与受保护列禁止重命名,列重命名前校验冻结列与受保护列，分别提示不可重命名；重命名后若与已有列重名给出提醒；若被改名列关联有明细结构，其关联同步跟随改名。,"步骤1:
对 testcase_id 与某受保护列尝试重命名
步骤2:
对普通列重命名为已存在的列名
步骤3:
重命名一个关联明细结构的列，检查弹窗 / 粘贴是否失效","【业务功能检查】
- 冻结列与受保护列重命名被拦截并提示
- 普通列重名时给出提醒但不强制
- 关联明细结构的列改名后，弹窗 / 粘贴 / 渲染仍正常（关联跟随改名）",高
合并测试阶段/案例编辑器增强/字段保护/配置即时生效,受保护清单配置驱动即时生效,受保护字段清单由配置驱动（非硬编码），配置变更后编辑器即时按新约束调整列操作可用性（菜单项显隐 + 运行时校验），无需重建文件。,"步骤1:
在配置中将某普通列声明为受保护
步骤2:
不重开文件，直接右键该列查看删除 / 重命名入口
步骤3:
从配置移除该保护，再次右键","【业务功能检查】
- 配置新增保护后，该列立即隐藏删除 / 重命名入口
- 配置移除保护后，该列立即恢复入口
- 无需重开文件即生效",中
合并测试阶段/案例编辑器增强/表头映射/多层来源合并,多层映射按优先级合并,映射来源从低到高：系统内置默认 → 用户个人设置 → 工作区设置 → 项目映射文件（最高优先级）；多个来源配置同字段时高优先级覆盖低优先级；未配置字段回退英文 key。,"步骤1:
在系统默认、用户设置、工作区设置、项目文件四处分别给同一字段配置不同中文名
步骤2:
打开文件查看表头显示的中文名
步骤3:
移除最高优先级配置，再次查看","【业务功能检查】
- 表头显示最高优先级（项目文件）配置的中文名
- 移除后自动回退到下一优先级的中文名
- 三层均无配置的字段显示英文 key，不影响功能",高
合并测试阶段/案例编辑器增强/表头映射/用户双入口配置,用户可通过文件或设置自定义表头,用户可通过命令生成 / 编辑项目映射文件，或在设置界面直接编辑映射项（用户级 / 工作区级），两种方式汇入同一合并结果。,"步骤1:
执行命令打开 / 生成项目映射配置文件，增改一条「英文字段: 中文名」
步骤2:
在设置界面为另一字段增改中文名
步骤3:
刷新文件查看两处配置均生效","【业务功能检查】
- 命令生成的映射文件可编辑并即时生效
- 设置界面的映射项可编辑并即时生效
- 两处配置最终一致合并展示",中
合并测试阶段/案例编辑器增强/表头映射/热更新,修改映射后表头实时刷新,用户修改映射配置或映射文件后，表头实时刷新为新中文名，无需关闭重开文件。,"步骤1:
打开文件，记录某列表头中文名
步骤2:
修改该项目映射文件中该字段的中文名并保存
步骤3:
不重开文件，观察表头","【业务功能检查】
- 保存映射文件后表头立即显示新中文名
- 无需关闭重开文件",中
合并测试阶段/案例编辑器增强/表头映射/底层英文通信,推送导出一律以英文 key 通信,无论表头展示中文还是英文，推送 / 导出 / 接口调用一律以英文 key 为准，用户无需关心底层字段拼写。,"步骤1:
在已配置中文表头的文件中编辑并推送一行
步骤2:
抓取推送 payload 的字段键名","【业务功能检查】
- 推送 payload 使用英文 key（如 testcase_id），而非中文显示名
- 导出文件同样以英文 key 为准",高
合并测试阶段/案例编辑器增强/表头映射/反向映射还原,中文表头文件推送时还原为英文 key,当案例文件本身是中文表头（首行是中文列名）时，推送前需把中文列名还原为英文 key；用户自定义了某中文名应同步配置反向映射，否则该列推送时无法还原、字段丢失（系统应提示补全）。,"步骤1:
准备一个首行为中文列名的案例文件（如「案例唯一标识」对应 testcase_id）
步骤2:
配置正向映射但未配置反向映射，尝试推送
步骤3:
补全反向映射后再次推送","【业务功能检查】
- 未配反向映射时，该中文列表头无法还原为英文 key，字段推送为空，系统提示补全反向映射
- 补全反向映射后，推送 payload 正确使用英文 key，字段不丢失",高
合并测试阶段/案例编辑器增强/表头映射/非法配置降级,映射文件格式非法时静默降级,映射配置文件格式非法（非 JSON / 非字符串值）时，静默降级为空映射，编辑器正常打开，不阻断使用。,"步骤1:
将项目映射文件改为非法内容（如破坏 JSON 结构）
步骤2:
打开案例文件","【业务功能检查】
- 编辑器正常打开，不报错阻断
- 表头回退为英文 key（或系统默认），降级不破坏编辑能力",中
合并测试阶段/案例编辑器增强/新行弹窗编辑/取消不写回,弹窗取消或 Esc 不写回任何改动,在明细弹窗内修改内容后点击取消或按 Esc（或点遮罩关闭），系统丢弃本次全部修改，主表与落盘文件均不写回任何改动。,"步骤1:
打开某明细列弹窗，修改其中若干字段内容
步骤2:
按 Esc 键关闭弹窗（或点击遮罩 / 取消按钮）
步骤3:
查看主表该单元格与落盘文件对应字段","【业务功能检查】
- 取消 / Esc 后主表单元格内容保持修改前状态
- 落盘文件对应字段未被写回任何改动
- 不残留临时结构或半修改态",中
合并测试阶段/案例编辑器增强/新行弹窗编辑/上一行无结构不弹窗,插入行上一行同列为纯文本时不弹窗,插入新行时若上一行同列是普通文本（无对象 / 数组结构），新行该列按普通文本录入，不自动弹窗、不预置结构化占位。,"步骤1:
构造上一行某列是纯文本（无结构）的案例文件
步骤2:
在该行下方插入新行，点击新行该列单元格","【业务功能检查】
- 新行该列不预置对象 / 数组占位
- 双击进入普通文本编辑态，不打开结构化弹窗
- 录入行为与普通文本列一致",中
合并测试阶段/案例编辑器增强/新行弹窗编辑/弹窗非法JSON提示,弹窗内填写非法 JSON 时提示且不写回,在对象字段粘贴 / 输入非法 JSON，点击格式化或保存时给出明确提示，系统不将该错误结构写回单元格与文件。,"步骤1:
打开某明细弹窗，在对象字段输入一段非法 JSON（如缺引号 / 括号不匹配）
步骤2:
点击格式化按钮并尝试保存
步骤3:
查看提示与主表 / 文件","【业务功能检查】
- 格式化 / 保存时弹出非法 JSON 提示
- 非法结构未被写回单元格与落盘文件
- 用户可继续修正，不强制关闭弹窗",中
合并测试阶段/案例编辑器增强/新行弹窗编辑/弹窗标题定位信息,弹窗标题展示中文名与英文 key 及行号,打开明细弹窗时，弹窗标题应展示该列中文名（若已配置映射）、英文字段名、所在行号，便于用户定位当前编辑对象。,"步骤1:
对一列已配置中文映射的明细列打开弹窗
步骤2:
观察弹窗标题内容","【业务功能检查】
- 弹窗标题包含英文字段名（如 steps）
- 若已配置映射，标题同时显示中文名
- 标题包含所在行号，便于定位",中
合并测试阶段/案例编辑器增强/标记功能/过滤态推送定位退出过滤,过滤态下推送定位失败行时自动退出全部过滤,在任意过滤态（仅看已标记 / 仅看失败 / 搜索 / 列筛选）下执行推送，若需跳转到某失败行，系统自动退出全部过滤并提示用户，以保证失败行定位准确。,"步骤1:
开启「仅看已标记行」或搜索过滤，使表格处于过滤态
步骤2:
执行推送并使其出现失败行
步骤3:
观察失败行定位与过滤态变化","【业务功能检查】
- 推送定位失败行时自动退出全部过滤态，恢复全部行显示
- 弹出提示告知用户已退出过滤态
- 失败行定位准确指向原始行号，不指向过滤后视图行号",高
