路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/绑定和关联/绑定/重命名删除同步/跨区移动,跨工作区移动文件视为删除（清理原绑定）,当 与 不同，按 处理（当前实现不跨区新增）,步骤1: 绑定 要点X（工作区A）↔ 案例A（工作区A） 步骤2: 将 案例A 移动到工作区B 步骤3: 检查工作区A绑定库。,【业务功能检查】 - 工作区A 中对该案例的引用被清理 - 不产生跨区脏绑定,中
合并测试阶段/绑定和关联/绑定/跳转与状态栏/要点跳转案例,右键测试要点「跳转到已绑定的测试案例」打开对端文件并定位,→ → （+）；文件存在时打开并聚焦。,步骤1: 绑定 要点X ↔ 案例A 步骤2: 右键 要点，点击「跳转到已绑定的测试案例」 步骤3: 观察。,【业务功能检查】 - 打开 案例A 文件 - 在资源管理器中定位（reveal） -,高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/要点未绑提示,未绑定要点点击跳转时提示是否立即绑定,返回 null → 弹 「是否立即绑定」，选「立即绑定」则打开对话框。,步骤1: 确保 要点X 未绑定 步骤2: 右键该要点点击跳转案例 步骤3: 点击「立即绑定」。,【业务功能检查】 - 提示「当前测试要点尚未绑定测试案例，是否立即绑定」 - 选立即绑定打开绑定对话框 -,高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/案例缺失提示,跳转到的绑定案例文件已删除时给出告警,命中但 fs. 为假 → 「绑定的测试案例文件不存在」。,步骤1: 绑定 要点X ↔ 案例A 后删除 案例A 步骤2: 右键 要点X 跳转到案例 步骤3: 观察提示。,【业务功能检查】 - 弹出告警指出绑定案例文件不存在 - 不打开空/错误文件 -,中
合并测试阶段/绑定和关联/绑定/跳转与状态栏/案例跳转要点,右键测试案例「跳转到已绑定的测试要点」打开对端要点,→ → ；逻辑与要点侧对称。,步骤1: 绑定 要点X ↔ 案例A 步骤2: 右键 案例 点击跳转要点 步骤3: 观察。,【业务功能检查】 - 打开 要点 - 在资源管理器定位 -,高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/状态栏要点,打开已绑要点文件时状态栏显示「跳转到已绑定的测试案例」,活动文件命中 且 role=point → 文案 + 命令 . ； 查表，5s 缓存。,步骤1: 绑定 要点X ↔ 案例A 步骤2: 激活编辑器打开 要点 步骤3: 观察底部状态栏。,【业务功能检查】 - 状态栏显示「 跳转到已绑定的测试案例」 - 点击执行跳转命令 - tooltip 含绑定案例名,高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/状态栏案例,打开已绑案例文件时状态栏显示「跳转到已绑定的测试要点」,role=case → 文案 + 命令 .。,步骤1: 激活编辑器打开已绑案例 案例 步骤2: 观察状态栏。,【业务功能检查】 - 状态栏显示「跳转到已绑定的测试要点」 - 点击跳转到要点 - tooltip 含绑定要点名,高
合并测试阶段/绑定和关联/绑定/跳转与状态栏/状态栏隐藏,未绑定的文件打开时状态栏按钮隐藏,查询 无命中 →。,步骤1: 打开一个未参与绑定的任意文件 步骤2: 观察状态栏。,【业务功能检查】 - 不显示跳转按钮 - 切换编辑器时按当前文件动态显隐,中
合并测试阶段/绑定和关联/绑定/跳转与状态栏/保存后自现,在对话框完成绑定后状态栏自动出现（无需切换编辑器）,保存后调用 → 强制刷新状态栏。,步骤1: 打开未绑要点并停留 步骤2: 通过命令面板打开绑定对话框并完成绑定 步骤3: 观察状态栏是否即时出现。,【业务功能检查】 - 绑定完成后状态栏立即出现跳转按钮 - 不需要手动切换编辑器触发,中
合并测试阶段/绑定和关联/绑定/装饰器/要点徽标,已绑定的测试要点文件在资源管理器显示 🔗 徽标（绿色）,. ：命中 且 role=point → badge 🔗、color 、tooltip「已绑定测试案例：<名>」。,步骤1: 绑定 要点X ↔ 案例A 步骤2: 在资源管理器查看 要点 步骤3: 观察图标。,【业务功能检查】 - 文件显示 🔗 徽标 - 徽标颜色为绿色 - hover 提示「已绑定测试案例：案例A」,高
合并测试阶段/绑定和关联/绑定/装饰器/案例徽标,已绑定的测试案例文件显示 🔗 徽标（绿色）,role=case → tooltip「已绑定测试要点：<名>」。,步骤1: 查看已绑案例 案例 的图标 步骤2: hover 观察 tooltip。,【业务功能检查】 - 案例文件显示 🔗 徽标 - tooltip 含绑定要点名,高
合并测试阶段/绑定和关联/绑定/装饰器/精确刷新,绑定或解绑后旧对端与新对端图标均被精确刷新,保存时把 源+新对端+旧对端 传给，装饰器只对受影响 调 fire，并失效 缓存。,步骤1: 将 要点X 从 案例A 改绑到 案例B 步骤2: 观察两案例文件图标。,【业务功能检查】 - 案例A 图标消失（变未绑） - 案例B 图标出现（变已绑） - 无需全量重绘即可更新,高
合并测试阶段/绑定和关联/绑定/装饰器/未绑无标记,未参与绑定的文件不显示 🔗 徽标,未命中 且不命中原任务文件夹逻辑 → 返回 undefined（无徽标）,步骤1: 查看未绑定文件图标 步骤2: 确认无徽标。,【业务功能检查】 - 文件无 🔗 装饰 - 不影响普通文件展示,中
合并测试阶段/绑定和关联/关联/匹配引擎/类型1最强,parent_id 命中且归一化 path 相等时判 type=1（最强）,. ：当 record 的 命中某 point 且 与该 point. 相等→ type=1，优先级最高。,步骤1: 要点列表含 = -001、 =账户中心/登录 步骤2: 案例记录 = -001、path=账户中心/登录 步骤3: 运行。,【业务功能检查】 - 该案例归到 -001，type=1 - stats. +1 - 计入,高
合并测试阶段/绑定和关联/关联/匹配引擎/类型2路径兜底,仅 path 命中（无或不匹配 parent_id）时判 type=2,当 完全未命中且归一化 path 命中某 point. → type=2（路径兜底）。中文 因无 只能走 type=2。,步骤1: 要点 =账户中心/登录 步骤2: 案例记录无 、path=账户中心/登录 步骤3: 运行匹配。,【业务功能检查】 - 该案例归到对应要点，type=2 - type1=0、type2+1 - 中文表头 命中符合此路径,高
合并测试阶段/绑定和关联/关联/匹配引擎/类型3父id,仅 parent_id 命中但 path 不等或缺失时判 type=3,命中但归一化 path 与该 point 的 不相等（或 path 缺失）→ type=3。,步骤1: 要点 = -001、 =账户中心/登录 步骤2: 案例 = -001、path=账户中心/注册（不等） 步骤3: 运行匹配。,【业务功能检查】 - 该案例归到 -001，type=3 - type3+1 - 仍计入匹配（弱匹配）,高
合并测试阶段/绑定和关联/关联/匹配引擎/父id多值,parent_id 为数组或逗号、分号分隔字符串时正确拆分,"支持数组、逗号(,)、中文逗号(，)、分号(;)、全角分号(；)分隔；空串过滤、trim。","步骤1: 案例 分别为 ["" -001"","" -002""]、"" -001, -002""、"" -001； -002"" 步骤2: 分别运行匹配。",【业务功能检查】 - 三种写法均拆成两个候选父点 - 命中数量与写法无关 - 多余空白被忽略,中
合并测试阶段/绑定和关联/关联/匹配引擎/尾号剥离,parent_id 末尾 -数字 在未命中时剥离兜底（-001-1→ -001）,"原值查不到时尝试去掉末尾 ""-数字""，命中则记为 （统计）",步骤1: 要点 = -001 步骤2: 案例 = -001-1（原值不命中） 步骤3: 运行匹配。,【业务功能检查】 - 通过 -1 剥离命中 -001 - stats. +1 - 原值已命中时不误剥（避免 -001 被误剥为）,中
合并测试阶段/绑定和关联/关联/匹配引擎/path归一化,path 归一化统一反斜杠、全角斜杠、间隔点、首尾与连续斜杠,\、／、· 转 /；折叠空白；去掉斜杠两侧空白；合并连续 //；去首尾斜杠。,步骤1: 要点 =账户中心/登录 步骤2: 案例 path 分别用 账户中心\登录、账户中心／登录、账户中心·登录、/账户中心/登录/、账户中心//登录 步骤3: 运行匹配。,【业务功能检查】 - 所有变体均归一化为 账户中心/登录 并命中 type=1/2 - 与要点侧使用同一套规则，避免 对 / 不一致,高
合并测试阶段/绑定和关联/关联/匹配引擎/单点归属,同一案例只归到一个要点（多命中取最强 type）,"同一 ( , ) 去重；多命中时按 type 升序取第一个，避免一个 case 被多个 point 瓜分。",步骤1: 两个要点 相同（兄弟点） 步骤2: 案例 path 命中两者 步骤3: 运行匹配。,【业务功能检查】 - 该案例仅归到一个 point - 选中的为 type 最小（最强）者 - 不产生重复归属,高
合并测试阶段/绑定和关联/关联/匹配引擎/多命中告警1,parent_id 数组指向多个不同要点时记为 multiHit 告警,判定1：hits 内部含 >1 个不同 （脏数据）→ 该 进。,"步骤1: 要点 -001、 -002 均存在 步骤2: 案例 = -001, -002 步骤3: 运行匹配。",【业务功能检查】 - 进 stats. - 仍按单点归属落库（取最强） -,中
合并测试阶段/绑定和关联/关联/匹配引擎/多命中告警2,案例 path 指向与 parent_id 完全不同的模块时记为 multiHit,判定2：path 命中的 集合与 命中集合完全不相交 →。,步骤1: 要点 A（path=模块A）、要点 B（path=模块B） 步骤2: 案例 命中 A，但 path=模块B 步骤3: 运行匹配。,【业务功能检查】 - 进 - 表明 path 与 指向不同模块（数据可疑）,中
合并测试阶段/绑定和关联/关联/匹配引擎/同point去重,同一要点内相同 testcase_id 去重（Q8）,[ ] 内用 seen 集合按 去重，重复记录只计一次。,步骤1: 同一要点下两条记录 相同 步骤2: 运行匹配。,【业务功能检查】 - 该要点下该 只出现一次 - 不重复计数,中
合并测试阶段/绑定和关联/关联/匹配引擎/孤儿记录,parent_id 与 path 均不命中时记为孤儿（orphan）,hits 为空 → +1，不进入 ；中文 若 path 也不匹配则成孤儿。,步骤1: 要点 =账户中心/登录 步骤2: 案例 path=不存在的模块、无 步骤3: 运行匹配。,【业务功能检查】 - stats. +1 - 不含该案例 - total= -matched-orphan 关系成立,中
合并测试阶段/绑定和关联/关联/匹配引擎/重复pointId,要点列表存在重复 pointId 时记入重复清单,同一 出现多次 →，最终 stats. 返回（脏数据信号）,步骤1: 要点列表含两个 相同的条目 步骤2: 运行匹配。,【业务功能检查】 - stats. 含该 - 多归属的 point 仍被合并处理 -,中
合并测试阶段/绑定和关联/关联/匹配引擎/默认字段名,默认按 parent_id、path、testcase_id、name 取值,默认 ：= 、 =path、 = 、 =name。,步骤1: 使用标准英文字段案例文件 步骤2: 运行匹配。,【业务功能检查】 - 四个字段均正确读取 - 命中与命名符合约定,中
合并测试阶段/绑定和关联/关联/匹配引擎/自定义字段,通过 自定义字段名可正确匹配,支持传入 / / / / / 覆盖默认。,步骤1: 案例文件使用非默认字段名（如 父点编号/用例路径/用例编号/用例名称） 步骤2: 以 注入映射 步骤3: 运行匹配。,【业务功能检查】 - 使用自定义字段名仍正确命中 - 数据完整,中
合并测试阶段/绑定和关联/关联/匹配引擎/空pointId路径兜底,要点 pointId 为空但带 pointPath 仍可凭路径参与匹配,为空时不入，但只要 合法就入，支持 type=2 兜底（避免空编号要点被整体跳过）,步骤1: 要点列表含一个 为空、 =账户中心/登录 的条目 步骤2: 案例无 、path=账户中心/登录 步骤3: 运行匹配。,【业务功能检查】 - 该要点凭 path 参与匹配 - 案例归到该要点，type=2 - 不因空编号被忽略,中
合并测试阶段/绑定和关联/关联/匹配引擎/缓存失效,records 走 + mtime 缓存避免重复解析,以 + +size 为键，命中则返回缓存 records；超出 淘汰最久未用。,步骤1: 连续对同一文件运行两次匹配 步骤2: 观察第二次是否走缓存。,【业务功能检查】 - 第二次直接命中缓存、不重复解析 - 文件保存（mtime 变）后缓存失效重解析 - 热调用近乎零成本,中
合并测试阶段/绑定和关联/关联/要点解析/md表头,md 表格「| 序号 | 测试点 | ...」正确解析为 pointList,识别首行为「| 序号 | 测试点 | ...」的表，取前两列作为 /。,步骤1: 编写含「| 序号 | 测试点 | 预期 |」的 md 步骤2: 调用。,"【业务功能检查】 - 解析出每个测试点为 { , , } - 表头识别稳定",高
合并测试阶段/绑定和关联/关联/要点解析/功能条目前缀,「功能条目：xxx」行作为 pointPath 父级前缀,找「功能条目[:：]xxx」行作为 ；无则退化为文件名（去后缀）,步骤1: md 含「功能条目：账户中心/登录模块」 步骤2: 表格测试点「登录鉴权」 步骤3: 解析。,【业务功能检查】 - = 账户中心/登录模块/登录鉴权（归一化后） - 缺功能条目行时取文件名兜底,高
合并测试阶段/绑定和关联/关联/要点解析/空名称跳过,测试点名称为空时跳过该行,仅当 pname 为空才 continue； 为空时用 pname 兜底。,步骤1: 表格某行测试点列为空 步骤2: 解析。,【业务功能检查】 - 空名称行被跳过，不进 - 编号空但名称有的行保留,中
合并测试阶段/绑定和关联/关联/要点解析/编号兜底,测试点编号为空时用名称兜底作为 pointId,= pid || pname，保证未填编号的要点也能参与 path 匹配（type=2）,步骤1: 表格序号列空、测试点列有值 步骤2: 解析。,【业务功能检查】 - 取测试点名称 - 该要点可凭 参与匹配,中
合并测试阶段/绑定和关联/关联/要点解析/表头弹性,md 表头列名弹性识别（编号、点号、id、pointId 等）,匹配 /^(序号|编号|点号|id| )$/i，匹配 /^(测试点|测试要点|要点|名称|name| )$/i。,步骤1: 用「| 编号 | 要点 |」表头 步骤2: 用「| | |」表头 步骤3: 分别解析。,【业务功能检查】 - 不同团队叫法均被正确识别 - 列序无关,中
合并测试阶段/绑定和关联/关联/要点解析/转义竖线,md 单元格内转义竖线 \| 不被当作分列,将 \| 暂存占位符，切完列再还原为 |。,步骤1: 单元格含「A\|B」内容 步骤2: 解析该行。,【业务功能检查】 - A|B 作为同一单元格内容 - 不错误多分一列,中
合并测试阶段/绑定和关联/关联/要点解析/路径写法兼容,功能条目缺或多斜杠、用反斜杠写法均归一化一致,与最终 均经，与案例侧同构。,步骤1: 功能条目用 账户中心\登录模块、账户中心/登录模块/、账户中心 ／ 登录模块 步骤2: 与同 path 案例匹配。,【业务功能检查】 - 三种写法均归一化为 账户中心/登录模块/<点> - 与案例 path 一致命中 type=1/2,中
合并测试阶段/绑定和关联/关联/要点解析/xmind节点,xmind 带五角星图标的节点解析为测试点,以五角星图标节点为测试点（引自）,步骤1: 构造 xmind：功能条目（小旗子）+ 测试点（五角星） 步骤2: 调用解析。,【业务功能检查】 - 五角星节点解析为 - 中间功能条目节点作为父级路径,高
合并测试阶段/绑定和关联/关联/要点解析/xmind结构错误,xmind 中间节点缺图标时返回结构错误清单,解析结果 非空 → 直接短路返回，并随 envelope 携带 清单（含 、）,步骤1: 构造 xmind：存在无图标的中间节点 步骤2: 调用。,【业务功能检查】 - 返回 非空、total=0、data={} - envelope. 列出缺图标节点路径 - 提示为节点标记图标或移到测试点下,中
合并测试阶段/绑定和关联/关联/要点解析/xmind脏数据告警,xmind 多 label 等脏数据产生告警但不阻断解析,warnings 非空（如多 label）→ envelope. 携带，仍正常返回。,步骤1: 构造 xmind 含多 label 节点 步骤2: 调用解析。,【业务功能检查】 - 正常返回 - envelope. 列出脏数据说明 - 不阻断匹配,中
合并测试阶段/绑定和关联/关联/中文CSV兼容/表头探测,中文表头 （名称、路径、预期结果）被探测并映射到引擎字段,只读首行(≤8KB)，命中中文关键字段时把 字段名指向中文键（名称→ 等），数组字段包成数组返回。,"步骤1: 准备中文表头 （名称,路径,前置条件,预期结果,...） 步骤2: 调用 步骤3: 核对是否命中。",【业务功能检查】 - 首行中文表头被识别 - 注入中文键映射 - 案例按中文列正确取值,高
