路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/表格编辑器通用能力/剪贴板/单格填充多格选区,单格内容填充整个多格选区,粘贴逻辑：当剪贴板为单格内容且存在多格选区（r1≠r2 或 c1≠c2）→ 把该 1 格填充到整个选区（Excel 行为）；过滤模式下按 _viewRows 顺序只填充可见行。,"步骤1:
复制 1 个单元格
步骤2:
框选一个 3×2 区域
步骤3:
按 Ctrl/Cmd+V","【业务功能检查】
- 3×2 共 6 个单元格全部填充为所复制的同一内容
- 过滤模式下仅可见行接收填充，隐藏行保持不变
- 选区被扩展高亮为覆盖区域便于确认",高
合并测试阶段/表格编辑器通用能力/剪贴板/矩形铺贴以左上为起点,矩形选区复制后按左上为起点铺贴,"粘贴逻辑：剪贴板为二维矩形时，从当前选区左上角 (r1,c1) 逐格铺贴到目标连续可见行；过滤模式下跳过被隐藏的行（按 _viewRows 顺序找起始后的可见行序列）。","步骤1:
复制一段 2×2 区域
步骤2:
选中目标左上角单元格
步骤3:
按 Ctrl/Cmd+V","【业务功能检查】
- 源 2×2 逐格写入目标对应位置，行列对齐
- 过滤模式下隐藏行被跳过，仅可见行接收
- 目标越界部分不写入、不报错",中
合并测试阶段/表格编辑器通用能力/剪贴板/粘贴跳过样例行与标识列,粘贴跳过样例数据行与 testcase_id 列,粘贴时遇到 isFrozenRow（样例数据行，中文占位 testcase_id）→ toast「样例数据行已冻结，不允许粘贴」并跳过；遇到 isFrozenCol（testcase_id 系统列）→ toast「testcase_id 列不允许粘贴」并跳过，其余单元格正常写入。,"步骤1:
框选一个同时覆盖样例数据行和 testcase_id 列的区域
步骤2:
粘贴内容
步骤3:
观察样例行与标识列","【业务功能检查】
- 样例数据行内容不被改写（保持模板只读）
- testcase_id 列不被改写
- 仅有提示且其余可写单元格正常更新",中
合并测试阶段/表格编辑器通用能力/剪贴板/粘贴明细列仅接受对象,粘贴到明细列仅接受对象或对象数组剪贴板,粘贴时若目标列为明细列（steps 等）且剪贴板内容不是对象/对象数组（如 Excel 纯 TSV 字符串）→ 跳过并提示（避免写字符串到主表与 rawRowGroups 不一致，yaml-parser 优先 raw 导致视觉替换但数据未变）。,"步骤1:
复制普通文本单元格
步骤2:
选中 steps 明细列某单元格为左上角
步骤3:
按 Ctrl/Cmd+V","【业务功能检查】
- 该明细列单元格被跳过，不写入字符串
- 给出「明细列跳过」类提示
- 同批次其他非明细列正常写入
- 提示用户改用明细弹窗编辑",中
合并测试阶段/表格编辑器通用能力/查找替换/打开查找面板,按钮或Ctrl加F打开查找面板,findBtn/toggleFindPanel 或 Ctrl/Cmd+F（_isAnyModalOpen 时拦截）→ openFindPanel：显示 #findPanel，聚焦 #findInput 并全选，同步顶部 #searchInput 值到查找框，同步 Aa 大小写按钮高亮状态（S._findCaseSensitive），并立即 rebuildFindMatches 执行一次匹配。,"步骤1:
点击工具栏查找按钮（或按 Ctrl/Cmd+F）
步骤2:
观察面板与输入框","【业务功能检查】
- 查找面板显示，输入框获得焦点且内容选中
- Aa（大小写）按钮高亮状态与当前大小写开关一致
- 打开即按当前输入执行一次匹配并给出命中数",高
合并测试阶段/表格编辑器通用能力/查找替换/关键字匹配与高亮,关键字匹配命中单元格并高亮,rebuildFindMatches 按 S._findKw 遍历各行各列（明细列 isDetailColumn 跳过；数组列按 '; ' 拼接后参与匹配，与主表 chip 同规则），命中存入 S._matches；paintFindHighlight 为命中单元格加高亮类并对文本做 mark 替换，当前命中（_matchIdx）用强调样式区分。,"步骤1:
打开查找面板并输入一个在多处出现的关键字
步骤2:
观察表格与各命中单元格","【业务功能检查】
- 所有含关键字的单元格被高亮
- 当前命中以不同强调样式呈现
- 面板右下角显示「第 X / Y 个」进度信息
- 明细列不参与匹配高亮",高
合并测试阶段/表格编辑器通用能力/查找替换/大小写敏感切换,Aa按钮切换大小写敏感匹配,findCaseBtn 切换 S._findCaseSensitive；开启后 needle 不再 toLowerCase，仅精确大小写命中；关闭则忽略大小写。每次切换都 rebuildFindMatches + updateFindInfo + focusActiveMatch。,"步骤1:
输入关键字「Error」
步骤2:
默认（不敏感）观察命中（含 error/ERROR）
步骤3:
点击 Aa 开启大小写敏感","【业务功能检查】
- 关闭大小写敏感时匹配 Error/error/ERROR 等
- 开启后仅精确匹配「Error」
- 命中集合与进度信息随切换实时更新",中
合并测试阶段/表格编辑器通用能力/查找替换/上下命中导航,上一个下一个在命中间导航,stepFind(±1) 在 S._matches 中循环前进/后退，focusActiveMatch 将当前命中滚动进入视区并聚焦对应单元格（_ensureFindMatchesConsistent 校验过滤态一致性，防止隐藏行误命中）。,"步骤1:
查找一个多处出现的关键字
步骤2:
多次点击「下一个」或按 Enter
步骤3:
点击「上一个」","【业务功能检查】
- 当前命中在命中列表间前进/后退循环
- 视图自动滚动到当前命中单元格
- 进度信息序号同步更新
- 不会跳到被过滤隐藏的行",中
合并测试阶段/表格编辑器通用能力/查找替换/过滤态只搜可见行,过滤态下查找仅搜可见行,rebuildFindMatches 当仅看失败/修改/新增/删除/标记（hasToggle）激活时，用 S._viewRows 构造 visibleRows 集合，仅对可见行匹配，避免匹配到已隐藏行。,"步骤1:
开启「仅看修改」或「仅看失败」
步骤2:
打开查找面板输入关键字
步骤3:
观察命中范围","【业务功能检查】
- 命中仅来自当前可见（如修改）行
- 被过滤隐藏的行不出现在命中列表
- 关闭过滤后同一关键字命中数可能增加",中
合并测试阶段/表格编辑器通用能力/查找替换/关闭查找面板,ESC或点击表格关闭查找面板,ESC 键（keydown）或 bindCloseFindOnTableClick（点击 #tableContainer 非面板区域）→ closeFindPanel：移除 show 类、clearFindHighlight 清除高亮、清空 S._matches/S._matchIdx/S._findKw、updateFindInfo。,"步骤1:
打开查找面板并输入关键字（表格出现高亮）
步骤2:
按 ESC（或点击表格空白处）","【业务功能检查】
- 面板关闭
- 所有查找高亮被清除，单元格恢复原样式
- 命中列表清空，进度信息重置",中
合并测试阶段/表格编辑器通用能力/查找替换/替换当前命中,替换当前命中仅改第一处,replaceCurrent 仅替换当前命中单元格中第一处匹配（单步替换语义）；跳过 isFrozenRow/isFrozenCol/isArrayCol/isDetailColumn 并给出对应提示（样例行「已冻结」、tsId「系统列」、数组列「请双击单元格」、明细列「请通过弹窗编辑」）；替换后 rebuildFindMatches 重新搜索，全部替换完则提示并关闭面板。,"步骤1:
查找「abc」
步骤2:
替换框输入「xyz」
步骤3:
点击「替换」","【业务功能检查】
- 当前命中单元格第一处「abc」变为「xyz」
- 其余命中保留不变
- 数据模型同步更新，单元格重新渲染
- 命中全部替换完后提示「已完成替换」并关闭面板",高
合并测试阶段/表格编辑器通用能力/查找替换/替换全部,替换全部命中并提示数量,replaceAll 对可见非受限列中所有命中（含同一单元格内多处）全部替换，跳过样例行/tsId列/数组列/明细列；替换后 toast「已替换 N 处」并 closeFindPanel。,"步骤1:
查找「old」
步骤2:
替换框输入「new」
步骤3:
点击「替换全部」","【业务功能检查】
- 所有可见非受限列中「old」全部变为「new」（含单元格内多处）
- 样例行/数组列/明细列/tsId 列不受影响
- 提示「已替换 N 处」并关闭面板",高
合并测试阶段/表格编辑器通用能力/查找替换/替换跳过受限列提示,替换对受限列跳过并给出提示,replaceCurrent/replaceAll 对受限列命中项给出针对性提示：明细列「明细列不支持查找替换，请通过弹窗编辑」、数组列「标量数组列不支持查找替换，请双击单元格在多项编辑弹窗中修改」、样例行「样例数据行已冻结，跳过替换」、tsId「testcase_id 列为系统列，跳过替换」。,"步骤1:
构造一个同时出现在明细列与标量列的关键字
步骤2:
替换全部
步骤3:
观察各列结果","【业务功能检查】
- 标量列中该关键字被正常替换
- 明细列/数组列/样例数据行/testcase_id 列内容保持不变
- 出现对应的「跳过」提示文案，不静默失败",中
合并测试阶段/表格编辑器通用能力/明细JSON/对象字段格式化,明细弹窗对象字段可格式化JSON,"明细弹窗（detail modal）中 dv2DetectKind===object 的字段以 JSON 文本 textarea 展示；点击格式化 `{ }` 按钮 → dv2FormatJson 用 JSON.stringify(value, null, 2) 美化缩进；若语法高亮预览当前可见，同步刷新 preview 的 code.innerHTML。","步骤1:
打开含对象字段（如某 case 级对象或步骤内对象字段）的明细弹窗
步骤2:
点击该对象字段的格式化按钮 `{ }`
步骤3:
再次编辑内容后点格式化","【业务功能检查】
- 文本被格式化为带缩进的多行 JSON
- 不合法 JSON 忽略格式化不报错
- 若处于高亮预览态，格式化后预览同步刷新",中
合并测试阶段/表格编辑器通用能力/明细JSON/语法高亮切换,对象字段语法高亮在编辑与预览间切换,dv2ToggleHighlight(field) 在编辑模式与只读语法高亮预览之间切换：高亮模式隐藏 textarea 与展开按钮、显示只读 code 预览（highlightJson 着色）；再次点击切回编辑模式恢复 textarea 与展开按钮，按钮图标/title 反转（✨ ↔ ✎）。,"步骤1:
打开含对象字段的明细弹窗
步骤2:
点击语法高亮按钮 `✨`
步骤3:
再次点击同一按钮","【业务功能检查】
- 第一次：切换为彩色只读高亮预览，textarea 与展开按钮隐藏
- 第二次：切回可编辑 textarea，控件恢复
- 两种模式状态正确反转，无残留",高
合并测试阶段/表格编辑器通用能力/明细JSON/高亮着色规则,语法高亮对key字符串数字分别着色,highlightJson(str) 先 escapeHtml 防 XSS，再用正则对 JSON 文本着色：key（含 HTML 实体如 &amp; &lt; 安全的 key）蓝色（hl-key）、字符串、数字、布尔/null 各着不同色；保证含特殊字符的 key 也能正确着色且不破版。,"步骤1:
准备一个含 key/字符串/数字/布尔的对象字段
步骤2:
打开其明细弹窗并切到语法高亮预览","【业务功能检查】
- key 显示为蓝色
- 字符串/数字/布尔/null 分别呈现不同颜色
- 含 HTML 实体字符的 key 正确着色且不被当作 HTML 执行（转义安全）",中
合并测试阶段/表格编辑器通用能力/步骤排序/步骤上移交换并修正标记,折叠态步骤上移交换位置并修正修改标记,"明细弹窗左栏步骤列表，dv2MoveStep(di,'up') 交换 di 与 di-1 两个 step（rawRowGroups[ri] 内数组交换）；同步修正 _dv2StepMods 索引（di↔di-1 互换并 add 二者为 modified），更新 _dv2ActiveStep 跟随移动；renderDetailV2 重渲染。","步骤1:
打开某 steps 明细弹窗（≥2 步）
步骤2:
点击第 2 步的「上移」箭头
步骤3:
观察顺序与修改标记","【业务功能检查】
- 第 2 步与第 1 步交换位置
- 步骤被标记为「已修改」(modified) 的指示正确跟随移动后的步骤
- 当前激活步骤仍指向移动后的对应步骤
- 左栏顺序实时更新",高
合并测试阶段/表格编辑器通用能力/步骤排序/步骤下移交换,折叠态步骤下移交换位置,"dv2MoveStep(di,'down') 交换 di 与 di+1 两个 step，其余逻辑同上（修正修改标记索引、激活步骤跟随、重渲染）。边界：最后一步的「下移」按钮 disabled 不触发。","步骤1:
打开某 steps 明细弹窗
步骤2:
点击第 1 步的「下移」箭头
步骤3:
保存后查看 YAML","【业务功能检查】
- 第 1 步移动到第 2 步之后，其余顺序不变
- 修改标记与激活步骤正确跟随
- 保存后 YAML 中步骤顺序与界面一致",高
合并测试阶段/表格编辑器通用能力/步骤排序/首末步按钮置灰,首步上移与末步下移按钮置灰可用,renderDetailV2 中第 1 步（di===0）的上移按钮加 disabled、最后一步（di===stepCount-1）的下移按钮加 disabled；点击 disabled 不绑定 dv2MoveStep，避免越界。,"步骤1:
打开一个多步骤明细弹窗
步骤2:
观察第 1 步的「上移」按钮与最后一步的「下移」按钮","【业务功能检查】
- 第 1 步「上移」按钮置灰不可用
- 最后一步「下移」按钮置灰不可用
- 点击置灰按钮无任何移动/报错",中
合并测试阶段/表格编辑器通用能力/步骤排序/移动后保存顺序落盘,步骤移动后保存顺序正确落盘,dv2MoveStep 交换 rawRowGroups[ri] 内 step 顺序；saveDetailModal 将调整后的顺序经 diffPushSnapshot 写回 YAML（显示文本同步）；再次打开弹窗顺序保持。,"步骤1:
移动若干步骤（上移/下移组合）
步骤2:
保存明细弹窗
步骤3:
重新打开同一行明细弹窗","【业务功能检查】
- 保存后 YAML 中 steps 顺序与界面移动结果一致
- 重新打开弹窗仍按新顺序展示
- 底层数据结构未出现错位或重复",中
合并测试阶段/表格编辑器通用能力/明细弹窗/长文本字段展开收起,明细弹窗标量字段可展开收起查看全文,明细弹窗右栏标量字段 textarea 旁有 .xs-dv2-expand-btn；点击 toggle .xs-dv2-field 的 expanded 类：展开时按钮变 ▲、title「收起」，textarea 加 expanded 类并 autoGrowTextarea 自适应高度显示全部内容；收起时按钮变 ▼、title「展开查看全部」，移除 expanded 并清空 height/overflowY 恢复折叠。,"步骤1:
打开含长文本标量字段（如某步骤 operation 描述较长）的明细弹窗
步骤2:
点击该字段右侧展开按钮（▼）
步骤3:
再次点击同一按钮（▲）","【业务功能检查】
- 第一次：字段 textarea 展开为自适应高度，长文本完整可见，按钮变为 ▲ 且悬停提示「收起」
- 第二次：textarea 折叠回单行高度，按钮变回 ▼ 提示「展开查看全部」
- 展开/收起状态互不残留，不影响其他字段",中
合并测试阶段/表格编辑器通用能力/明细弹窗/数组项展开收起,明细弹窗数组项可独立展开收起,数组字段（data/ui_expected 等）每项 textarea 旁有 .xs-dv2-arr-expand-btn；点击 toggle .xs-dv2-arr-item 的 expanded 类，展开时按钮 ▲、textarea 加 expanded 并 autoGrow，收起时 ▼ 并重置高度，逻辑与标量字段一致。,"步骤1:
打开含数组字段（如 data 有 2 项长文本）的明细弹窗
步骤2:
点击第 1 项的展开按钮
步骤3:
点击第 2 项的展开按钮后再收起第 1 项","【业务功能检查】
- 第 1 项展开后长文本完整显示、按钮变 ▲
- 第 2 项可独立展开，不受第 1 项状态影响
- 收起第 1 项后其余项展开状态保持",中
合并测试阶段/表格编辑器通用能力/明细弹窗/展开态输入自动增高,字段展开状态下输入自动增高不截断,textarea.xs-dv2-scalar / .xs-dv2-arr-input 的 input 事件仅在 expanded 类存在时调用 autoGrowTextarea，使展开态输入多行时框体随内容增高，避免内容被遮挡。,"步骤1:
展开某个标量/数组字段
步骤2:
在展开态连续输入多行内容","【业务功能检查】
- 输入过程中 textarea 高度随行数自动增加
- 内容完整可见不被滚动条截断
- 收起态输入不触发自动增高（保持单行折叠）",低
合并测试阶段/表格编辑器通用能力/保存明细/标量类型修正还原,保存时数字布尔字段按原始类型还原避免引号化,"saveDetailModal 第 3 步 a)：_buildScalarTypeMap 从已有步骤推断标量类型，对 copy 后的字段做修正——数字字符串（如 ""123""）转回 number 123、布尔字符串 ""true""/""false"" 转回 true/false，避免写回 YAML 时被引号化成字符串。dv2WriteScalar 实时写入时也经 dv2CoerceScalar 按原始样本类型还原。","步骤1:
打开某 steps 明细弹窗，其中某标量字段原始为数字（如 timeout: 30）
步骤2:
把该字段清空后重新输入 30（此时为文本输入）
步骤3:
保存明细弹窗并查看 YAML","【业务功能检查】
- 保存后 YAML 中该字段为数字 30（非 ""30"" 字符串）
- 布尔字段输入 true/false 保存后为布尔类型
- 非数字文本（如 abc）原样保留为字符串，不被误转",高
合并测试阶段/表格编辑器通用能力/保存明细/空非必需字段剔除,保存时清空的非必需数组字段从 YAML 删除,"saveDetailModal 第 3 步 b)：STRIP_IF_EMPTY_FIELDS = [data, ui_expected, api_expected, db_expected]，落盘前若字段值为空字符串 / null / undefined / 空数组 []，则从 step 对象中 delete，不写回冗余空值到 YAML（在深拷贝上修改，saveFile 成功才写回，失败不破坏源数据）。","步骤1:
打开某 steps 明细弹窗，清空其中 data 与 ui_expected 内容（变为空数组）
步骤2:
保存明细弹窗
步骤3:
查看该行 YAML 原文","【业务功能检查】
- 保存后 YAML 中该步骤不再出现 data / ui_expected 空键（或为空时被剔除）
- 其余有内容的字段正常保留
- 落盘失败时源数据不被破坏（先深拷贝再改）",高
合并测试阶段/表格编辑器通用能力/保存明细/无实质变更不误标修改,明细无实质变更时保存不标记为已修改,saveDetailModal 第 0 步：若 S._dv2StepMods.size===0（弹窗内完全未操作）或 rawRows 与 S._detailBackup.raws 经 JSON 深度比对相等（用户输入后又改回原值），则 closeDetailModal(false) 直接关闭、不写入 mods，避免「未修改却被标已修改」的假阳性。,"步骤1:
打开某 steps 明细弹窗
步骤2:
什么都不改，直接点保存；或改了某个字段后又改回原值再保存
步骤3:
观察主表该行是否被标记为「已修改」","【业务功能检查】
- 完全未操作直接保存：弹窗关闭，主表该行不出现「已修改」标记
- 改回原值再保存：深度比对判定无变化，同样不标记已修改
- 确有内容变更时才标记并落盘",中
合并测试阶段/表格编辑器通用能力/新增步骤/固定字段自动预填充,新增步骤时必备固定字段始终存在,"REQUIRED_STEP_FIELDS = [operation, data, ui_expected, api_expected, db_expected]（类型 operation 标量、其余数组）。dv2AddStep 按 headers 并集 + 固定字段播种新 step：operation 置空字符串，data/ui_expected/api_expected/db_expected 置空数组，保证任意新增步骤都包含这些固定字段，渲染字段卡片时也始终包含它们。","步骤1:
打开含 steps 明细弹窗
步骤2:
点击「添加步骤」
步骤3:
查看新步骤的字段列表","【业务功能检查】
- 新步骤至少包含 operation、data、ui_expected、api_expected、db_expected 五个固定字段
- operation 为空字符串、其余四个为空的数组项编辑区
- 即使原文件表头未声明这些字段，新增步骤仍自动补齐",中
合并测试阶段/表格编辑器通用能力/复制步骤/固定字段保留补齐,复制步骤时固定字段被保留或补齐,dv2DuplicateStep 先 JSON 深拷贝源步骤，再遍历 REQUIRED_STEP_FIELDS 确保 clone 中含全部固定字段（缺失的按类型补空），复制出的步骤与主步骤结构一致、不丢失固定字段。,"步骤1:
选择一个含部分固定字段的步骤
步骤2:
点击「复制」该步骤
步骤3:
对比原步骤与复制品的字段集合","【业务功能检查】
- 复制品包含与原步骤一致的固定字段集合
- 原步骤缺失的固定字段在复制品中被补齐为对应空值
- 两步骤内容（含数组项）相互独立可分别编辑",中
合并测试阶段/表格编辑器通用能力/明细弹窗/ESC键关闭并丢弃改动,按 ESC 关闭明细弹窗且丢弃未保存改动,"全局 keydown（02b-bind.js）在 e.key===""Escape"" 且 isDetailModalOpen() 时调用 closeDetailModal()（discard 默认 true）；closeDetailModal 用 S._detailBackup 的 rows/raws 还原 dt.rowGroups[ri]/rawRowGroups[ri]，清空 _detailMods/_dv2StepMods 等状态。即 ESC 等价「取消」，未保存编辑全部丢弃。","步骤1:
打开某 steps 明细弹窗并修改某个字段内容
步骤2:
不点任何保存/关闭按钮，直接按 ESC
步骤3:
重新打开同一行明细弹窗","【业务功能检查】
- 弹窗关闭
- 重新打开后修改内容未保留（还原为打开前的快照）
- 主表该行不出现「已修改」标记（改动被丢弃）",高
合并测试阶段/表格编辑器通用能力/明细弹窗/取消按钮关闭并丢弃改动,点「取消」关闭明细弹窗且丢弃改动,bindDetailModal 为 #detailCancelBtn 绑定 closeDetailModal（discard=true），与 ESC 同语义：用 S._detailBackup 还原数据并清空编辑状态。,"步骤1:
打开某 steps 明细弹窗并修改某字段
步骤2:
点击底部「取消」按钮（非右上角 ✕）","【业务功能检查】
- 弹窗关闭
- 修改内容被丢弃，主表与重新打开的弹窗均恢复原始值
- 区别于「保存」，不写回任何变更",高
合并测试阶段/表格编辑器通用能力/明细弹窗/保存按钮关闭并保留改动,点「保存」关闭明细弹窗并落盘保留,bindDetailModal 为 #detailSaveBtn 绑定 saveDetailModal；其内 closeDetailModal(false)（discard=false）不还原快照，变更经 diffPushSnapshot/saveFile 写回 YAML 并 renderTable，toast「明细已保存」。,"步骤1:
打开某 steps 明细弹窗并修改某字段
步骤2:
点击底部「保存」按钮","【业务功能检查】
- 弹窗关闭并提示「明细已保存」
- 主表与 YAML 中该字段已更新
- 重新打开弹窗显示保存后的值",高
合并测试阶段/表格编辑器通用能力/明细弹窗/关闭按钮X关闭并丢弃改动,点右上角 ✕ 关闭明细弹窗且丢弃改动,bindDetailModal 为 #detailModalClose（✕）绑定 closeDetailModal（discard=true），与 ESC/取消一致，用快照还原丢弃未保存编辑。,"步骤1:
打开某 steps 明细弹窗并修改某字段
步骤2:
点击右上角 ✕ 关闭按钮","【业务功能检查】
- 弹窗关闭
- 修改内容被丢弃，数据还原为打开前状态
- 主表不出现「已修改」标记",中
