路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/新增测试案例文件/格式选择/子菜单CSV免弹窗,右键子菜单直接选CSV无需格式弹窗直接创建csv,验证在资源管理器中直接选择「新增测试案例→CSV」时，无需再弹出格式选择框即可直接创建 .csv 文件。,"步骤1:
右键「测试案例」目录
步骤2:
选择「新增测试案例→CSV (.csv)」
步骤3:
观察是否弹出格式选择框","【业务功能检查】
- 不弹出格式选择框
- 直接创建「未命名测试案例.csv」
- 文件内容使用 CSV 模板",中
合并测试阶段/新增测试案例文件/格式选择/子菜单YAML免弹窗,右键子菜单直接选YAML无需格式弹窗直接创建yaml,验证在资源管理器中直接选择「新增测试案例→YAML」时，无需再弹出格式选择框即可直接创建 .yaml 文件。,"步骤1:
右键「测试案例」目录
步骤2:
选择「新增测试案例→YAML (.yaml)」
步骤3:
观察创建结果","【业务功能检查】
- 不弹出格式选择框
- 直接创建「未命名测试案例.yaml」
- 文件内容使用 YAML 模板",中
合并测试阶段/新增测试案例文件/格式选择/命令面板弹窗选择,命令面板入口执行后弹出格式选择框供选择,验证通过命令面板触发新建（未指定格式）时，会弹出格式选择框，列出 CSV 与 YAML 供用户选择。,"步骤1:
命令面板执行「新增测试案例」
步骤2:
在弹出的格式选择框中查看选项
步骤3:
分别选择 CSV 与 YAML 各一次验证","【业务功能检查】
- 弹窗含「CSV (.csv)」与「YAML (.yaml)」两项且描述正确
- CSV 选项排在前
- 选择后按所选扩展名创建对应格式文件",中
合并测试阶段/新增测试案例文件/格式选择/弹窗取消不创建,格式选择框取消选择时不创建文件,验证在格式选择框中取消选择（按 Esc 或点击空白）时，系统不创建任何文件、无残留。,"步骤1:
触发命令面板「新增测试案例」弹出格式选择框
步骤2:
按 Esc 或点击空白处取消选择
步骤3:
检查测试案例目录","【业务功能检查】
- 不创建任何文件
- 无报错与残留
- 再次触发仍可正常创建",中
合并测试阶段/新增测试案例文件/默认文件名/默认命名,新建文件默认名为未命名测试案例加扩展名,验证首次新建案例文件时，系统自动赋予默认文件名「未命名测试案例.<ext>」并进入改名态等待用户命名。,"步骤1:
右键「测试案例」目录选择 CSV
步骤2:
观察新建文件的初始名称（未重命名前）","【业务功能检查】
- 初始文件名形如「未命名测试案例.csv」
- 文件进入编辑（inline）状态，等待用户改名",中
合并测试阶段/新增测试案例文件/默认文件名/同名递增,目录已存在同名文件时自动递增命名为未命名测试案例1,验证当目录中已存在同名文件时，再次新建不会覆盖原文件，而是自动递增序号命名。,"步骤1:
在「测试案例」目录先创建「未命名测试案例.csv」并保留（不重命名）
步骤2:
再次右键新增 CSV
步骤3:
观察新文件名","【业务功能检查】
- 第二次创建的文件名为「未命名测试案例1.csv」
- 不会覆盖已存在文件
- 递增序号连续合理",中
合并测试阶段/新增测试案例文件/默认文件名/多次递增,连续多次同名创建依次递增123,验证连续多次新建同名文件时，系统依次递增序号 1、2、3…，无跳号、无冲突、无覆盖。,"步骤1:
连续三次在「测试案例」目录新增 CSV 且均不重命名
步骤2:
列出目录中产生的未命名文件","【业务功能检查】
- 产生「未命名测试案例.csv」「未命名测试案例1.csv」「未命名测试案例2.csv」
- 序号无跳号、无冲突、无覆盖",低
合并测试阶段/新增测试案例文件/模板内容/CSV模板表头,CSV模板含正确表头与示例数据行,验证以 CSV 格式新建的案例文件自带标准表头与示例数据行，结构正确可直接打开编辑。,"步骤1:
以 CSV 格式新增测试案例文件
步骤2:
用文本方式打开该文件查看内容
步骤3:
核对表头与首行数据","【业务功能检查】
- 表头包含全部 10 个字段且顺序正确（testcase_id、路径、名称、案例描述、前置条件、步骤描述、预期结果、案例类型、优先级、执行方式）
- 首行 testcase_id 为占位「案例唯一标识，不可修改」
- 示例行含步骤描述/预期结果的换行占位",中
合并测试阶段/新增测试案例文件/模板内容/YAML模板结构,YAML模板含完整结构字段,验证以 YAML 格式新建的案例文件自带完整字段结构，包含 steps 步骤数组及其嵌套字段。,"步骤1:
以 YAML 格式新增测试案例文件
步骤2:
查看文件结构
步骤3:
核对 steps 字段嵌套层级","【业务功能检查】
- YAML 含 steps 数组且每个 step 含 operation 与 ui_expected/api_expected/db_expected
- testcase_id 为占位「案例唯一标识，不可修改」
- 结构可被推送映射正确解析",中
合并测试阶段/新增测试案例文件/模板内容/示例占位文案,模板示例行testcase_id占位文案为案例唯一标识不可修改,验证 CSV 与 YAML 两种模板的示例行 testcase_id 占位文案一致，均为「案例唯一标识，不可修改」，以便后续推送时识别并过滤示例行。,"步骤1:
新增 CSV 案例文件并查看 testcase_id 单元格
步骤2:
新增 YAML 案例文件并查看 testcase_id 字段","【业务功能检查】
- CSV 与 YAML 模板的 testcase_id 均为「案例唯一标识，不可修改」
- 占位文案统一，避免推送时误将示例行当作真实业务数据",中
合并测试阶段/新增测试案例文件/打开与编辑/插件编辑器打开,创建后用测试案例编辑器自定义编辑器打开表格视图,验证新建的案例文件会以插件自带的表格编辑器（而非纯文本）打开，表头与示例行以表格形式呈现。,"步骤1:
新增 CSV 测试案例文件
步骤2:
观察文件打开方式
步骤3:
检查是否以表格形式呈现","【业务功能检查】
- 文件以插件自定义编辑器（表格视图）打开而非纯文本
- 表头与示例行正确渲染为表格
- 若编辑器打开失败会降级为文本编辑并提示错误",高
合并测试阶段/新增测试案例文件/打开与编辑/inline重命名,创建后文件名自动进入资源管理器inline编辑状态,验证新建文件后，资源管理器中该文件自动被选中并进入文件名改写状态，用户可直接输入新名称。,"步骤1:
新增测试案例文件
步骤2:
观察资源管理器中该文件是否被高亮选中且文件名处于可编辑输入框
步骤3:
输入新名称并回车","【业务功能检查】
- 文件被选中并进入 inline 编辑（文件名输入框聚焦）
- 用户输入新名回车后文件按新名保存
- 修改扩展名时模板内容随之转换（CSV↔YAML）",高
合并测试阶段/新增测试案例文件/打开与编辑/重命名超时兜底,用户30秒内未重命名自动释放改名监听,验证用户新建文件后若长时间不重命名，系统内部用于监听改名的机制会自动释放，不会造成资源长期占用或异常。,"步骤1:
新增测试案例文件后不做任何重命名操作
步骤2:
等待超过 30 秒
步骤3:
观察资源管理器与编辑器是否出现异常","【业务功能检查】
- 30 秒后系统自动停止等待改名监听，不再占用资源
- 长时间无操作不引发异常或内存泄漏提示
- 文件保持新建时的默认名",低
合并测试阶段/新增测试案例文件/文件标识/写入记录文件,创建成功后写入命令创建记录文件,验证通过命令创建的案例文件会被系统记录，在工作区隐藏目录中留下创建记录，用于后续标识与同步。,"步骤1:
新增一个测试案例文件
步骤2:
打开工作区根目录下的命令创建记录文件（命令创建记录文件）
步骤3:
查找新文件路径","【业务功能检查】
- 记录文件中出现该文件的绝对路径作为 key
- 不影响原案例文件（YAML/CSV）内容（零侵入）
- 记录文件不存在时自动创建目录并写入",高
合并测试阶段/新增测试案例文件/文件标识/记录字段,记录项含创建时间与版本,验证命令创建记录在文件中的元数据字段正确，包含创建时间与版本号。,"步骤1:
新增测试案例文件
步骤2:
查看对应记录对象的字段","【业务功能检查】
- 创建时间（createdAt）为合法时间字符串
- 版本（version）值为 '1.0'
- 字段类型与文档说明一致",中
合并测试阶段/新增测试案例文件/文件标识/key为绝对路径,记录key使用文件绝对路径区分不同工作区目录,验证命令创建记录以文件绝对路径作为 key，因此不同工作区、不同目录下同名文件互不冲突。,"步骤1:
在 A 工作区新增测试案例文件并记录
步骤2:
在 B 工作区同名相对路径下新增文件
步骤3:
核对两工作区记录互不影响","【业务功能检查】
- 两条记录 key 为各自绝对路径，互不冲突
- 跨工作区不共享记录（与当前工作区强绑定）",低
合并测试阶段/新增测试案例文件/重命名删除同步/重命名更新key,文件重命名后记录key自动更新为新路径,验证命令创建的案例文件在资源管理器中重命名后，其创建记录同步更新为新路径，标识仍有效。,"步骤1:
新增测试案例文件（记录产生）
步骤2:
在资源管理器中将该文件重命名为新名称
步骤3:
查看 命令创建记录文件","【业务功能检查】
- 记录 key 由旧路径变为新路径
- 重命名后系统仍识别该文件为命令创建（标识生效）
- 旧路径 key 不再存在",高
合并测试阶段/新增测试案例文件/重命名删除同步/删除清理记录,文件删除后对应记录自动移除,验证命令创建的案例文件被删除后，系统自动清理其创建记录，不留下指向已删除文件的残留。,"步骤1:
新增测试案例文件（记录产生）
步骤2:
删除该文件
步骤3:
查看 命令创建记录文件","【业务功能检查】
- 记录中对应 key 被移除
- 不存在指向已删除文件的滞留记录
- 不影响其它文件的记录",中
合并测试阶段/新增测试案例文件/重命名删除同步/cleanupRecords,清理已不存在文件的记录,验证系统提供一次性清理能力，可移除记录中指向已不存在文件的残留项，且操作可重复执行结果一致。,"步骤1:
手动在文件系统中删除一个已记录命令创建的文件（绕过自动监听）
步骤2:
触发清理命令/操作
步骤3:
查看记录文件","【业务功能检查】
- 已删除文件的记录被清理
- 仍存在文件的记录保留
- 操作幂等，多次执行结果一致",低
合并测试阶段/新增测试案例文件/装饰器状态栏/首行装饰器,命令创建的案例文件编辑器首行显示装饰图标,验证通过命令创建的案例文件，在编辑器首行左侧会显示绿色标识图标（📝），手动创建的同格式文件不显示。,"步骤1:
新增测试案例文件并打开编辑器
步骤2:
查看编辑器首行左侧","【业务功能检查】
- 首行显示绿色 📝 图标装饰
- 手动创建（非命令）的同格式文件不显示该装饰
- 装饰不影响文件内容与保存",低
合并测试阶段/新增测试案例文件/装饰器状态栏/状态栏信息,状态栏显示通过命令创建及创建时间版本,验证打开命令创建的案例文件时，状态栏会出现「通过命令创建」提示，悬停可查看创建时间与版本。,"步骤1:
打开一个命令创建的测试案例文件
步骤2:
观察 VS Code 右下角状态栏","【业务功能检查】
- 状态栏出现「通过命令创建」项
- 悬停显示创建时间与版本(1.0)
- 关闭文件后状态栏项消失",低
合并测试阶段/新增测试案例文件/推送来源/命令创建判MA,命令创建的案例文件推送来源判定为testAgentMA,验证通过命令创建的案例文件，无论其 testcase_id 取值如何，推送时系统均将其来源判定为 testAgentMA。,"步骤1:
新增测试案例文件（命令创建）并填入非 TC 开头的 testcase_id
步骤2:
推送该文件并查看推送来源平台取值
步骤3:
核对平台来源","【业务功能检查】
- 推送来源平台为 testAgentMA
- 推送进入 testAgentMA 批次",高
合并测试阶段/新增测试案例文件/推送来源/TC开头判Agent,非命令创建但testcase_id以TC开头判定为testAgent,验证手动（非命令）创建的案例文件，若某行 testcase_id 以 TC 开头，推送来源判定为 testAgent。,"步骤1:
手动（非命令）创建案例文件，testcase_id 以 TC 开头
步骤2:
推送并核对来源","【业务功能检查】
- 推送来源返回 testAgent
- 推送进入 testAgent 批次",中
合并测试阶段/新增测试案例文件/推送来源/非TC非命令判MA,非命令创建且testcase_id不以TC开头判定为testAgentMA,验证手动创建且 testcase_id 既不以 TC 开头、也非命令创建时，推送来源兜底判定为 testAgentMA。,"步骤1:
手动创建案例文件，testcase_id 为标准 UUID 或自定编码
步骤2:
推送并核对来源","【业务功能检查】
- 推送来源返回 testAgentMA
- 推送进入 testAgentMA 批次",中
合并测试阶段/新增测试案例文件/示例行过滤/中文占位过滤,推送时静默过滤案例唯一标识不可修改示例行,验证包含模板示例行（testcase_id=案例唯一标识，不可修改）的案例文件在推送时，示例行被静默过滤、不发送到后端，仅真实案例被推送。,"步骤1:
新增 CSV 案例文件，保留模板示例行（testcase_id=案例唯一标识，不可修改）并额外添加一条真实案例
步骤2:
推送该文件
步骤3:
核对实际推送的行","【业务功能检查】
- 示例行被静默过滤，不发送到后端
- 仅真实案例被推送
- 若有其它真实行，正常推送不中断",高
合并测试阶段/新增测试案例文件/示例行过滤/短占位过滤,推送时静默过滤案例唯一标识短占位示例行,验证示例行 testcase_id 为短占位「案例唯一标识」时，同样被静默过滤，不作为业务数据上报。,"步骤1:
将模板示例行的 testcase_id 改为「案例唯一标识」
步骤2:
推送并核对","【业务功能检查】
- 该短占位行同样被过滤
- 不会作为业务数据上报",中
合并测试阶段/新增测试案例文件/示例行过滤/全样例提示,选中的全部为示例行时提示为样例数据并列出具体行号,验证当文件中仅含示例行（无真实案例）时执行推送，系统终止推送并提示为样例数据，同时列出可跳转的行号。,"步骤1:
新增案例文件后仅保留模板示例行，不添加任何真实案例
步骤2:
尝试推送","【业务功能检查】
- 不调用后端接口
- 提示「为样例数据」并列出样例行号
- 弹窗行号可点击跳转",高
合并测试阶段/新增测试案例文件/示例行过滤/英文占位阻断,testcase_id为英文占位TESTCASE_ID时阻断推送并弹窗,验证示例行 testcase_id 为英文占位 TESTCASE_ID（大小写不敏感）时，推送被阻断并弹窗提示，需用户处理后才能继续，与中文占位的静默过滤策略区分。,"步骤1:
将某行的 testcase_id 改为 TESTCASE_ID（或全大写 TESTCASE_ID）
步骤2:
推送该文件","【业务功能检查】
- 推送被阻断，不进入后端
- 弹出提示并列出该行，支持行号跳转
- 与中文占位「静默过滤」策略区分",中
合并测试阶段/新增测试案例文件/字段映射/CSV_testcase_id必填,中文CSV推送时testcase_id缺失拦截并报错含行号,验证中文表头 CSV 在推送时若某行 testcase_id 为空，系统拦截推送并提示缺少 testcase_id，且提示含具体行号便于定位。,"步骤1:
新增 CSV 案例文件，将某行 testcase_id 置空
步骤2:
推送并查看错误提示","【业务功能检查】
- 推送被拦截并提示「案例 [xxx] 缺少 testcase_id」
- 错误提示包含具体行号，便于定位
- 后端不被调用",高
合并测试阶段/新增测试案例文件/字段映射/CSV_步骤描述必填,中文CSV推送时步骤描述缺失拦截,验证中文表头 CSV 推送时若某行步骤描述为空，系统拦截并提示缺少步骤描述。,"步骤1:
新增 CSV 案例文件，填写 testcase_id 但将步骤描述清空
步骤2:
推送并查看错误","【业务功能检查】
- 拦截提示「缺少『步骤描述』内容」
- 含行号定位
- 后端不被调用",中
合并测试阶段/新增测试案例文件/字段映射/CSV_预期结果必填,中文CSV推送时预期结果缺失拦截,验证中文表头 CSV 推送时若某行预期结果为空（不含【UI检查】/【接口调用】/【数据检查】标签内容），系统拦截并提示缺少预期结果。,"步骤1:
新增 CSV 案例文件，填 testcase_id 与步骤描述，但预期结果留空
步骤2:
推送并查看错误","【业务功能检查】
- 拦截提示「缺少『预期结果』」
- 含行号定位
- 填了【UI检查】等标签后可通过校验",中
合并测试阶段/新增测试案例文件/字段映射/CSV_执行方式映射,中文CSV执行方式空或手工映射为手工其它映射为自动化,验证中文表头 CSV 的执行方式字段按规则映射：空或「手工」映射为「手工」，其它值映射为「自动化」。,"步骤1:
新增 CSV，分别设置执行方式为「」（空）、「手工」、「自动化」三行
步骤2:
推送（或映射校验）并核对映射后的执行方式字段","【业务功能检查】
- 空与「手工」映射为「手工」
- 「自动化」映射为「自动化」
- 映射结果符合接口要求",中
合并测试阶段/新增测试案例文件/字段映射/CSV_案例类型兜底,中文CSV案例类型为空时兜底为功能点类,验证中文表头 CSV 的案例类型字段为空时，系统兜底为「功能点类」，填写具体类型时保留原值。,"步骤1:
新增 CSV，案例类型列留空
步骤2:
映射后核对案例类型字段","【业务功能检查】
- 案例类型空时默认「功能点类」
- 填写具体类型时保留原值",低
合并测试阶段/新增测试案例文件/字段映射/CSV_优先级兜底,中文CSV优先级为空时兜底为低,验证中文表头 CSV 的优先级字段为空时，系统兜底为「低」，填写高/中时保留原值。,"步骤1:
新增 CSV，优先级列留空
步骤2:
映射后核对优先级字段","【业务功能检查】
- 优先级空时默认「低」
- 填写高/中时保留原值",低
合并测试阶段/新增测试案例文件/字段映射/CSV_路径标准化,中文CSV路径经标准化统一斜杠并补全首尾斜杠,验证中文表头 CSV 的路径字段中各种写法（反斜杠、全角斜杠、间隔点、首尾多余斜杠等）在推送时统一标准化为正斜杠并补全首尾斜杠；空或纯空白路径则报错。,"步骤1:
新增 CSV，路径列分别填「功能条目\测试要点」、「功能条目／测试要点」、「功能条目·测试要点」、「/功能条目/测试要点」、「功能条目/测试要点」
步骤2:
映射后核对标准化后的路径","【业务功能检查】
- 上述各写法均被标准化为「功能条目/测试要点/」
- 开头多余/被去除
- 结尾缺少/被补齐
- 空或纯空白路径报错提示",高
合并测试阶段/新增测试案例文件/字段映射/YAML_steps必填,YAML结构化推送时steps必填,验证 YAML 格式案例在推送时若 steps 为空数组，系统拦截并提示缺少步骤。,"步骤1:
新增 YAML 案例，留空 steps
步骤2:
推送并查看错误","【业务功能检查】
- 拦截提示「缺少『步骤』（steps）」
- 含行号定位
- 后端不被调用",中
合并测试阶段/新增测试案例文件/字段映射/YAML_operation必填,YAML每个step的operation操作步骤必填,验证 YAML 格式案例推送时，若某个 step 的 operation（操作步骤）为空，系统拦截并提示该步骤缺少操作步骤，且错误含步骤序号与行号。,"步骤1:
新增 YAML，steps 含一个 operation 为空的 step
步骤2:
推送并查看错误","【业务功能检查】
- 拦截提示「第 N 个步骤缺少 operation（操作步骤）」
- 错误含步骤序号与行号
- 填 operation 后可推送",中
合并测试阶段/新增测试案例文件/字段映射/YAML_预期至少其一,YAML每个step的ui与api与db预期至少填其一,验证 YAML 格式案例推送时，每个 step 的 ui_expected、api_expected、db_expected 至少需填写其一，全空则拦截。,"步骤1:
新增 YAML，step 的 ui/api/db 全部留空
步骤2:
推送并查看错误","【业务功能检查】
- 拦截提示「缺少『预期结果』（每个步骤的 ui_expected / api_expected / db_expected 至少填其一）」
- 任一预期段有内容即通过",中
合并测试阶段/新增测试案例文件/字段映射/YAML_type固定,YAML结构化推送type固定为功能点类,验证 YAML 格式案例推送时，接口中案例类型固定为「功能点类」，不读取文件中的 type 字段取值。,"步骤1:
新增 YAML，无论是否填写 type 字段
步骤2:
映射后核对案例类型","【业务功能检查】
- 接口 type 恒为「功能点类」
- 与 CSV 分支「案例类型空→功能点类」行为对齐",低
合并测试阶段/新增测试案例文件/模板内容/模板读取失败,CSV或YAML模板文件缺失或不可读时错误提示且不创建空文件,验证当模板文件缺失或不可读时，新建案例文件会给出错误提示且不创建任何空文件或占位文件，不破坏工作区结构。,"步骤1:
将 CSV 模板文件临时移走或改为不可读权限
步骤2:
在测试案例目录右键选择「新增测试案例→CSV」
步骤3:
观察提示与文件系统是否产生新文件
步骤4:
恢复模板后同样验证 YAML 模板缺失场景","【业务功能检查】
- 弹出错误提示告知模板读取失败
- 不创建任何空文件或无内容文件
- 工作区文件结构不被破坏，模板恢复后可正常新建",中
